Disease,PathwayID,PathwayName,GeneID,GeneSymbol,SNPs,TotalSNPs,FoldHit
Alzheimer's Disease,R-HSA-109581,Apoptosis,7157,TP53,6,46,0.840800205218896
Alzheimer's Disease,R-HSA-109581,Apoptosis,207,AKT1,1,46,1.04011028406985
Alzheimer's Disease,R-HSA-109581,Apoptosis,596,BCL2,1,46,0.883676272730323
Alzheimer's Disease,R-HSA-109581,Apoptosis,836,CASP3,2,46,0.919572841524733
Alzheimer's Disease,R-HSA-109581,Apoptosis,54205,CYCS,1,46,1.04833321084397
Alzheimer's Disease,R-HSA-109581,Apoptosis,355,FAS,1,46,0.949877119483524
Alzheimer's Disease,R-HSA-109581,Apoptosis,5594,MAPK1,1,46,1.09148122593836
Alzheimer's Disease,R-HSA-109581,Apoptosis,22900,CARD8,1,46,0.952168088249839
Alzheimer's Disease,R-HSA-109581,Apoptosis,7099,TLR4,1,46,1.08873520959667
Alzheimer's Disease,R-HSA-109581,Apoptosis,5534,PPP3R1,1,46,1.1641689313793
Alzheimer's Disease,R-HSA-109581,Apoptosis,7186,TRAF2,1,46,1.11389311953514
Alzheimer's Disease,R-HSA-109581,Apoptosis,7161,TP73,1,46,1.1750825112488
Alzheimer's Disease,R-HSA-109581,Apoptosis,1612,DAPK1,2,46,1.24047945183126
Alzheimer's Disease,R-HSA-109581,Apoptosis,4137,MAPT,23,46,1.50956819059736
Alzheimer's Disease,R-HSA-109581,Apoptosis,7534,YWHAZ,2,46,1.05429055281819
Alzheimer's Disease,R-HSA-109581,Apoptosis,1829,DSG2,1,46,1.35662191333143
Alzheimer's Disease,R-HSA-109582,Hemostasis,3479,IGF1,2,104,0.827324645984545
Alzheimer's Disease,R-HSA-109582,Hemostasis,207,AKT1,1,104,1.04011028406985
Alzheimer's Disease,R-HSA-109582,Hemostasis,351,APP,61,104,0.951979405216758
Alzheimer's Disease,R-HSA-109582,Hemostasis,960,CD44,1,104,1.09026357250831
Alzheimer's Disease,R-HSA-109582,Hemostasis,5594,MAPK1,1,104,1.09148122593836
Alzheimer's Disease,R-HSA-109582,Hemostasis,6647,SOD1,5,104,1.1020255305456
Alzheimer's Disease,R-HSA-109582,Hemostasis,5054,SERPINE1,2,104,0.953061018971895
Alzheimer's Disease,R-HSA-109582,Hemostasis,3309,HSPA5,2,104,0.96673934379183
Alzheimer's Disease,R-HSA-109582,Hemostasis,4846,NOS3,1,104,1.03699892205805
Alzheimer's Disease,R-HSA-109582,Hemostasis,5328,PLAU,1,104,0.937299443125183
Alzheimer's Disease,R-HSA-109582,Hemostasis,948,CD36,3,104,1.00758517078525
Alzheimer's Disease,R-HSA-109582,Hemostasis,5336,PLCG2,1,104,0.925541851528177
Alzheimer's Disease,R-HSA-109582,Hemostasis,1020,CDK5,1,104,1.16130448186071
Alzheimer's Disease,R-HSA-109582,Hemostasis,3660,IRF2,1,104,1
Alzheimer's Disease,R-HSA-109582,Hemostasis,2,A2M,2,104,1.14999630035644
Alzheimer's Disease,R-HSA-109582,Hemostasis,2534,FYN,1,104,1.23749757585843
Alzheimer's Disease,R-HSA-109582,Hemostasis,2162,F13A1,2,104,1
Alzheimer's Disease,R-HSA-109582,Hemostasis,5340,PLG,1,104,1.17506878247387
Alzheimer's Disease,R-HSA-109582,Hemostasis,338,APOB,1,104,1.44116542557945
Alzheimer's Disease,R-HSA-109582,Hemostasis,1191,CLU,8,104,1.44116542557945
Alzheimer's Disease,R-HSA-109582,Hemostasis,2147,F2,1,104,1.31953553635758
Alzheimer's Disease,R-HSA-109582,Hemostasis,12,SERPINA3,2,104,1.3975287552433
Alzheimer's Disease,R-HSA-109582,Hemostasis,3635,INPP5D,3,104,1.34008478455957
Alzheimer's Disease,R-HSA-109606,Intrinsic Pathway for Apoptosis,7157,TP53,6,17,0.840800205218896
Alzheimer's Disease,R-HSA-109606,Intrinsic Pathway for Apoptosis,207,AKT1,1,17,1.04011028406985
Alzheimer's Disease,R-HSA-109606,Intrinsic Pathway for Apoptosis,596,BCL2,1,17,0.883676272730323
Alzheimer's Disease,R-HSA-109606,Intrinsic Pathway for Apoptosis,836,CASP3,2,17,0.919572841524733
Alzheimer's Disease,R-HSA-109606,Intrinsic Pathway for Apoptosis,54205,CYCS,1,17,1.04833321084397
Alzheimer's Disease,R-HSA-109606,Intrinsic Pathway for Apoptosis,5594,MAPK1,1,17,1.09148122593836
Alzheimer's Disease,R-HSA-109606,Intrinsic Pathway for Apoptosis,22900,CARD8,1,17,0.952168088249839
Alzheimer's Disease,R-HSA-109606,Intrinsic Pathway for Apoptosis,5534,PPP3R1,1,17,1.1641689313793
Alzheimer's Disease,R-HSA-109606,Intrinsic Pathway for Apoptosis,7161,TP73,1,17,1.1750825112488
Alzheimer's Disease,R-HSA-109606,Intrinsic Pathway for Apoptosis,7534,YWHAZ,2,17,1.05429055281819
Alzheimer's Disease,R-HSA-109704,PI3K Cascade,9846,GAB2,10,12,1.23534899857488
Alzheimer's Disease,R-HSA-109704,PI3K Cascade,2255,FGF10,1,12,1
Alzheimer's Disease,R-HSA-109704,PI3K Cascade,2246,FGF1,1,12,1.1750825112488
Alzheimer's Disease,R-HSA-110328,Recognition and association of DNA glycosylase with site containing an affected pyrimidine,4968,OGG1,4,4,1.04404226957016
Alzheimer's Disease,R-HSA-110329,Cleavage of the damaged pyrimidine,4968,OGG1,4,4,1.04404226957016
Alzheimer's Disease,R-HSA-110330,Recognition and association of DNA glycosylase with site containing an affected purine,4968,OGG1,4,4,1.04404226957016
Alzheimer's Disease,R-HSA-110331,Cleavage of the damaged purine,4968,OGG1,4,4,1.04404226957016
Alzheimer's Disease,R-HSA-111465,Apoptotic cleavage of cellular proteins,836,CASP3,2,26,0.919572841524733
Alzheimer's Disease,R-HSA-111465,Apoptotic cleavage of cellular proteins,4137,MAPT,23,26,1.50956819059736
Alzheimer's Disease,R-HSA-111465,Apoptotic cleavage of cellular proteins,1829,DSG2,1,26,1.35662191333143
Alzheimer's Disease,R-HSA-111471,Apoptotic factor-mediated response,836,CASP3,2,5,0.919572841524733
Alzheimer's Disease,R-HSA-111471,Apoptotic factor-mediated response,54205,CYCS,1,5,1.04833321084397
Alzheimer's Disease,R-HSA-111471,Apoptotic factor-mediated response,5594,MAPK1,1,5,1.09148122593836
Alzheimer's Disease,R-HSA-111471,Apoptotic factor-mediated response,22900,CARD8,1,5,0.952168088249839
Alzheimer's Disease,R-HSA-111885,Opioid Signalling,815,CAMK2A,6,9,0.671441174421641
Alzheimer's Disease,R-HSA-111885,Opioid Signalling,5594,MAPK1,1,9,1.09148122593836
Alzheimer's Disease,R-HSA-111885,Opioid Signalling,1020,CDK5,1,9,1.16130448186071
Alzheimer's Disease,R-HSA-111885,Opioid Signalling,5534,PPP3R1,1,9,1.1641689313793
Alzheimer's Disease,R-HSA-111996,Ca-dependent events,815,CAMK2A,6,7,0.671441174421641
Alzheimer's Disease,R-HSA-111996,Ca-dependent events,5594,MAPK1,1,7,1.09148122593836
Alzheimer's Disease,R-HSA-112040,G-protein mediated events,815,CAMK2A,6,7,0.671441174421641
Alzheimer's Disease,R-HSA-112040,G-protein mediated events,5594,MAPK1,1,7,1.09148122593836
Alzheimer's Disease,R-HSA-112043,PLC beta mediated events,815,CAMK2A,6,7,0.671441174421641
Alzheimer's Disease,R-HSA-112043,PLC beta mediated events,5594,MAPK1,1,7,1.09148122593836
Alzheimer's Disease,R-HSA-112310,Neurotransmitter release cycle,6616,SNAP25,2,3,1.09119444971886
Alzheimer's Disease,R-HSA-112310,Neurotransmitter release cycle,6804,STX1A,1,3,1.33136330302609
Alzheimer's Disease,R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,815,CAMK2A,6,40,0.671441174421641
Alzheimer's Disease,R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,5594,MAPK1,1,40,1.09148122593836
Alzheimer's Disease,R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,1135,CHRNA2,3,40,0.871465500672657
Alzheimer's Disease,R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,2555,GABRA2,1,40,0.811355423913828
Alzheimer's Disease,R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,161,AP2A2,2,40,1.12838035152786
Alzheimer's Disease,R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,9463,PICK1,2,40,1.12838035152786
Alzheimer's Disease,R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,4137,MAPT,23,40,1.50956819059736
Alzheimer's Disease,R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,116444,GRIN3B,2,40,1.35662191333143
Alzheimer's Disease,R-HSA-112315,Transmission across Chemical Synapses,6531,SLC6A3,1,56,0.818271946995884
