Disease,CASRN,ChemicalName,RankOrder,SNPs,Genes,Reps,Rules
Alzheimer's Disease,10265-92-6,Methamidophos,30.2222222222222,0,12,9,6310
Alzheimer's Disease,110488-70-5,Dimethomorph,28.5,0,5,10,8235
Alzheimer's Disease,120116-88-3,Cyazofamid,14.8888888888889,6,18,9,4731
Alzheimer's Disease,121552-61-2,Cyprodinil,12.25,5,23,8,6465
Alzheimer's Disease,122-34-9,Simazine,22.2857142857143,3,8,7,337
Alzheimer's Disease,123-33-1,Maleic Hydrazide,35,0,2,7,3288
Alzheimer's Disease,12427-38-2,Maneb,8.44444444444445,32,56,9,7124
Alzheimer's Disease,124495-18-7,Quinoxyfen,35.75,3,7,8,4356
Alzheimer's Disease,131807-57-3,Famoxadone,27,1,15,8,6936
Alzheimer's Disease,13194-48-4,Ethoprop,37.7142857142857,0,1,7,5680
Alzheimer's Disease,133-06-2,Captan,16.7,5,22,10,715
Alzheimer's Disease,137-26-8,Thiram,13.1,9,32,10,7267
Alzheimer's Disease,137-30-4,Ziram,11.875,10,39,8,1861
Alzheimer's Disease,15299-99-7,Devrinol,29.8333333333333,0,4,6,6645
Alzheimer's Disease,156052-68-5,Zoxamide,18.5555555555556,5,17,9,3552
Alzheimer's Disease,1897-45-6,Tetrachloroisophthalonitrile,13,12,31,6,337
Alzheimer's Disease,19044-88-3,Oryzalin,17.5,5,20,6,7769
Alzheimer's Disease,22259-30-9,Formetanate,35.375,0,2,8,2785
Alzheimer's Disease,333-41-5,Diazinon,8.16666666666667,46,160,6,5117
Alzheimer's Disease,50471-44-8,Vinclozolin,15.75,2,5,8,2925
Alzheimer's Disease,53112-28-0,Pyrimethanil,29.3333333333333,0,7,9,4471
Alzheimer's Disease,60168-88-9,Fenarimol,33.125,3,13,8,5304
Alzheimer's Disease,63-25-2,Carbaryl,18.6666666666667,7,10,9,653
Alzheimer's Disease,68694-11-1,Triflumizole,20.5,3,24,8,10001
Alzheimer's Disease,732-11-6,Phosmet,39,0,4,6,1940
Alzheimer's Disease,7440-50-8,Copper,2.5,276,519,10,6165
Alzheimer's Disease,759-94-4,EPTC,36.1428571428572,0,1,7,7105
Alzheimer's Disease,7722-84-1,Hydrogen Peroxide,3.4,271,629,10,5778
Alzheimer's Disease,8018-01-7,Mancozeb,8.2,28,60,10,337
Alzheimer's Disease,83-79-4,Rotenone,4.6,187,382,10,1183
Alzheimer's Disease,86-50-0,Azinphosmethyl,29,0,5,8,7040
Alzheimer's Disease,88671-89-0,Myclobutanil,22.875,3,6,8,2431
Alzheimer's Disease,9006-42-2,Polymarcine,9.2,15,43,10,4291
Alzheimer's Disease,96489-71-3,Pyridaben,21.375,5,19,8,7885
Multiple Sclerosis,110488-70-5,Dimethomorph,13.3333333333333,0,5,6,5965
Multiple Sclerosis,121552-61-2,Cyprodinil,16.5,5,14,6,4184
Multiple Sclerosis,131807-57-3,Famoxadone,14,4,11,6,4734
Multiple Sclerosis,133-06-2,Captan,9.77777777777778,5,19,9,2991
Multiple Sclerosis,137-26-8,Thiram,8.71428571428571,8,27,7,6002
Multiple Sclerosis,156052-68-5,Zoxamide,6.5,4,12,6,3952
Multiple Sclerosis,53112-28-0,Pyrimethanil,21.5,1,5,8,3782
Multiple Sclerosis,68694-11-1,Triflumizole,14,4,19,6,6664
Multiple Sclerosis,7440-50-8,Copper,5.16666666666667,90,265,6,6909
Multiple Sclerosis,759-94-4,EPTC,17.5,0,1,10,2627
Multiple Sclerosis,7722-84-1,Hydrogen Peroxide,2.75,82,312,8,3092
Multiple Sclerosis,8018-01-7,Mancozeb,8.1,3,30,10,321
Multiple Sclerosis,9006-42-2,Polymarcine,8.7,3,28,10,8914
Parkinson Disease,10265-92-6,Methamidophos,34.8888888888889,1,9,9,7298
Parkinson Disease,110488-70-5,Dimethomorph,34,0,6,10,8198
Parkinson Disease,11141-17-6,Azadirachtin,27.5555555555556,0,9,9,6840
Parkinson Disease,120116-88-3,Cyazofamid,12.8571428571429,9,22,7,5043
Parkinson Disease,121552-61-2,Cyprodinil,14.8,9,23,10,6183
Parkinson Disease,123-33-1,Maleic Hydrazide,44.5,0,1,6,3288
Parkinson Disease,123312-89-0,Pymetrozine,37.5714285714286,3,2,7,6175
Parkinson Disease,12427-38-2,Maneb,8.9,122,58,10,7231
Parkinson Disease,124495-18-7,Quinoxyfen,36.6666666666667,3,8,9,5046
Parkinson Disease,126833-17-8,Fenhexamid,4.83333333333333,0,2,6,9292
Parkinson Disease,131807-57-3,Famoxadone,25.7,2,19,10,7179
Parkinson Disease,133-06-2,Captan,13,26,27,10,352
Parkinson Disease,137-26-8,Thiram,15.5,18,35,10,9354
Parkinson Disease,137-30-4,Ziram,14.2222222222222,23,45,9,534
Parkinson Disease,143390-89-0,Kresoxim-methyl,39.75,0,3,8,9544
Parkinson Disease,14484-64-1,Ferbam,43.75,0,4,8,5037
Parkinson Disease,145-73-3,Endothall,29.1666666666667,1,10,6,2553
Parkinson Disease,15299-99-7,Devrinol,32.7,0,5,10,6225
Parkinson Disease,156052-68-5,Zoxamide,34.5,5,20,10,3407
Parkinson Disease,16752-77-5,Methomyl,37.5555555555556,1,4,9,352
Parkinson Disease,188425-85-6,Boscalid,40.1428571428572,0,2,7,6052
Parkinson Disease,19044-88-3,Oryzalin,22.1428571428571,6,27,7,7735
Parkinson Disease,22259-30-9,Formetanate,17,9,4,10,4003
Parkinson Disease,23564-05-8,Thiophanate,39,0,4,6,1029
Parkinson Disease,2439-01-2,Chinomethionate,3.16666666666667,3,10,6,831
Parkinson Disease,333-41-5,Diazinon,12.1666666666667,69,108,6,4692
Parkinson Disease,39515-41-8,Fenpropathrin,26.5,1,5,10,7598
