Disease,YEAR,CASRN,ChemicalName,variable,value
Alzheimer's Disease,1992,133-06-2,Captan,Arkansas,3.557667898534
Alzheimer's Disease,1993,133-06-2,Captan,Arkansas,0.327446364191383
Alzheimer's Disease,1994,133-06-2,Captan,Arkansas,0.593893484183435
Alzheimer's Disease,1995,133-06-2,Captan,Arkansas,0.45047583926447
Alzheimer's Disease,1996,133-06-2,Captan,Arkansas,0.716840326587369
Alzheimer's Disease,1997,133-06-2,Captan,Arkansas,1.74577655780357
Alzheimer's Disease,1998,133-06-2,Captan,Arkansas,0.00682776449996762
Alzheimer's Disease,1999,133-06-2,Captan,Arkansas,0.225516084256882
Alzheimer's Disease,2000,133-06-2,Captan,Arkansas,0.271029389750052
Alzheimer's Disease,2001,133-06-2,Captan,Arkansas,0.09786974900615
Alzheimer's Disease,2002,133-06-2,Captan,Arkansas,0.114035005120343
Alzheimer's Disease,2003,133-06-2,Captan,Arkansas,0.125101056871838
Alzheimer's Disease,2004,133-06-2,Captan,Arkansas,0.581265098477964
Alzheimer's Disease,2005,133-06-2,Captan,Arkansas,0.0568666498967188
Alzheimer's Disease,2006,133-06-2,Captan,Arkansas,0.0286197288764474
Alzheimer's Disease,2007,133-06-2,Captan,Arkansas,0.0125697741610718
Alzheimer's Disease,2008,133-06-2,Captan,Arkansas,0
Alzheimer's Disease,2009,133-06-2,Captan,Arkansas,0.000163343648324584
Alzheimer's Disease,2010,133-06-2,Captan,Arkansas,0.0429670662692868
Alzheimer's Disease,2011,133-06-2,Captan,Arkansas,0.0198414490464863
Alzheimer's Disease,2012,133-06-2,Captan,Arkansas,0
Alzheimer's Disease,2013,133-06-2,Captan,Arkansas,0.0136881977296002
Alzheimer's Disease,2014,133-06-2,Captan,Arkansas,0.0147739525684636
Alzheimer's Disease,2015,133-06-2,Captan,Arkansas,0.00159115930367948
Alzheimer's Disease,2016,133-06-2,Captan,Arkansas,0
Alzheimer's Disease,2017,133-06-2,Captan,Arkansas,0
Alzheimer's Disease,2018,133-06-2,Captan,Arkansas,0
Alzheimer's Disease,1992,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,1993,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,1994,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,1995,60168-88-9,Fenarimol,Arkansas,0.00194859364001328
Alzheimer's Disease,1996,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,1997,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,1998,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,1999,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,2000,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,2001,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,2002,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,2003,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,2004,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,2005,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,2006,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,2007,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,2008,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,2009,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,2010,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,2011,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,2012,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,2013,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,2014,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,2015,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,2016,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,2017,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,2018,60168-88-9,Fenarimol,Arkansas,0
Alzheimer's Disease,1992,732-11-6,Phosmet,Arkansas,0.17075560657856
Alzheimer's Disease,1993,732-11-6,Phosmet,Arkansas,0.00203699137910658
Alzheimer's Disease,1994,732-11-6,Phosmet,Arkansas,0.0122968941838708
Alzheimer's Disease,1995,732-11-6,Phosmet,Arkansas,0.163866347999223
Alzheimer's Disease,1996,732-11-6,Phosmet,Arkansas,0.236916510064947
Alzheimer's Disease,1997,732-11-6,Phosmet,Arkansas,0.104052786517731
Alzheimer's Disease,1998,732-11-6,Phosmet,Arkansas,0
Alzheimer's Disease,1999,732-11-6,Phosmet,Arkansas,0.0502127983399673
Alzheimer's Disease,2000,732-11-6,Phosmet,Arkansas,0.038716288032887
Alzheimer's Disease,2001,732-11-6,Phosmet,Arkansas,0.00231755811622881
Alzheimer's Disease,2002,732-11-6,Phosmet,Arkansas,0.0324093015175778
Alzheimer's Disease,2003,732-11-6,Phosmet,Arkansas,0.124935791533534
Alzheimer's Disease,2004,732-11-6,Phosmet,Arkansas,0.132920413401635
Alzheimer's Disease,2005,732-11-6,Phosmet,Arkansas,0.045240425515969
Alzheimer's Disease,2006,732-11-6,Phosmet,Arkansas,0.00691039716912006
Alzheimer's Disease,2007,732-11-6,Phosmet,Arkansas,0.00934710006412679
Alzheimer's Disease,2008,732-11-6,Phosmet,Arkansas,0.0498486380887025
Alzheimer's Disease,2009,732-11-6,Phosmet,Arkansas,0.0434321152445168
Alzheimer's Disease,2010,732-11-6,Phosmet,Arkansas,0.0387278181727688
Alzheimer's Disease,2011,732-11-6,Phosmet,Arkansas,0.0153370077326883
Alzheimer's Disease,2012,732-11-6,Phosmet,Arkansas,0
Alzheimer's Disease,2013,732-11-6,Phosmet,Arkansas,0
Alzheimer's Disease,2014,732-11-6,Phosmet,Arkansas,0.00456977877312778
Alzheimer's Disease,2015,732-11-6,Phosmet,Arkansas,0.00132980946636014
Alzheimer's Disease,2016,732-11-6,Phosmet,Arkansas,0
Alzheimer's Disease,2017,732-11-6,Phosmet,Arkansas,0
Alzheimer's Disease,2018,732-11-6,Phosmet,Arkansas,0
Alzheimer's Disease,1992,8018-01-7,Mancozeb,Arkansas,0.452252441651247
Alzheimer's Disease,1993,8018-01-7,Mancozeb,Arkansas,0.567178150077454
Alzheimer's Disease,1994,8018-01-7,Mancozeb,Arkansas,0.828233968829805
Alzheimer's Disease,1995,8018-01-7,Mancozeb,Arkansas,4.11632143185889
Alzheimer's Disease,1996,8018-01-7,Mancozeb,Arkansas,1.82862061285384
Alzheimer's Disease,1997,8018-01-7,Mancozeb,Arkansas,1.78147963594736
Alzheimer's Disease,1998,8018-01-7,Mancozeb,Arkansas,0.039094860959004
Alzheimer's Disease,1999,8018-01-7,Mancozeb,Arkansas,0.109945648842287
Alzheimer's Disease,2000,8018-01-7,Mancozeb,Arkansas,0.0716771145748078
Alzheimer's Disease,2001,8018-01-7,Mancozeb,Arkansas,0.0398049254067209
Alzheimer's Disease,2002,8018-01-7,Mancozeb,Arkansas,0.0704145642577578
Alzheimer's Disease,2003,8018-01-7,Mancozeb,Arkansas,0.0943568997221812
Alzheimer's Disease,2004,8018-01-7,Mancozeb,Arkansas,0.0614960010592355
Alzheimer's Disease,2005,8018-01-7,Mancozeb,Arkansas,0.0256766606716345
Alzheimer's Disease,2006,8018-01-7,Mancozeb,Arkansas,0.159226427541815
Alzheimer's Disease,2007,8018-01-7,Mancozeb,Arkansas,0.0185126004251163
Alzheimer's Disease,2008,8018-01-7,Mancozeb,Arkansas,0.0236771422471436
Alzheimer's Disease,2009,8018-01-7,Mancozeb,Arkansas,0.0505769585912321
Alzheimer's Disease,2010,8018-01-7,Mancozeb,Arkansas,0.024683146951825
Alzheimer's Disease,2011,8018-01-7,Mancozeb,Arkansas,0.035885638691921
Alzheimer's Disease,2012,8018-01-7,Mancozeb,Arkansas,0.0227883606312598
Alzheimer's Disease,2013,8018-01-7,Mancozeb,Arkansas,0.0137823605386343
Alzheimer's Disease,2014,8018-01-7,Mancozeb,Arkansas,0.00267883583252318
Alzheimer's Disease,2015,8018-01-7,Mancozeb,Arkansas,0.0185519950697122
Alzheimer's Disease,2016,8018-01-7,Mancozeb,Arkansas,0.000265193217279913
Alzheimer's Disease,2017,8018-01-7,Mancozeb,Arkansas,0.00717943376636055
Alzheimer's Disease,2018,8018-01-7,Mancozeb,Arkansas,0.00109920666872544
Alzheimer's Disease,1992,133-06-2,Captan,California,0.853154656754487
Alzheimer's Disease,1993,133-06-2,Captan,California,1.45939944835565
Alzheimer's Disease,1994,133-06-2,Captan,California,1.81668694632491
Alzheimer's Disease,1995,133-06-2,Captan,California,2.21587005380162
Alzheimer's Disease,1996,133-06-2,Captan,California,2.72016625298902
Alzheimer's Disease,1997,133-06-2,Captan,California,2.41209595850066
Alzheimer's Disease,1998,133-06-2,Captan,California,4.77741032571244
Alzheimer's Disease,1999,133-06-2,Captan,California,2.95692302875177
Alzheimer's Disease,2000,133-06-2,Captan,California,1.85895534052245
Alzheimer's Disease,2001,133-06-2,Captan,California,1.16931328825355
Alzheimer's Disease,2002,133-06-2,Captan,California,1.15697225429639
Alzheimer's Disease,2003,133-06-2,Captan,California,1.484689777692
Alzheimer's Disease,2004,133-06-2,Captan,California,1.10381995872548
Alzheimer's Disease,2005,133-06-2,Captan,California,1.32544334429829
Alzheimer's Disease,2006,133-06-2,Captan,California,1.51017901107985
Alzheimer's Disease,2007,133-06-2,Captan,California,1.35182443778807
Alzheimer's Disease,2008,133-06-2,Captan,California,1.05450586972272
Alzheimer's Disease,2009,133-06-2,Captan,California,0.965518121955645
Alzheimer's Disease,2010,133-06-2,Captan,California,1.30636074624694
Alzheimer's Disease,2011,133-06-2,Captan,California,1.11630150877064
Alzheimer's Disease,2012,133-06-2,Captan,California,1.15192201626599
Alzheimer's Disease,2013,133-06-2,Captan,California,1.0351531471369
Alzheimer's Disease,2014,133-06-2,Captan,California,1.08603857814658
Alzheimer's Disease,2015,133-06-2,Captan,California,1.49759480087908
Alzheimer's Disease,2016,133-06-2,Captan,California,1.87108977091643
Alzheimer's Disease,2017,133-06-2,Captan,California,1.64581874168934
Alzheimer's Disease,2018,133-06-2,Captan,California,1.21298042707138
Alzheimer's Disease,1992,60168-88-9,Fenarimol,California,0.0732024655889575
