variable,value,Pvalue,GeneCount
Unique genes,4309,ORA p < 1e-04,3
Unique pathways,1239,ORA p < 1e-04,3
Unique path-dis,3786,ORA p < 1e-04,3
Unique path-gene-dis,128649,ORA p < 1e-04,3
Unique genes,4309,ORA p < 1e-04,5
Unique pathways,1238,ORA p < 1e-04,5
Unique path-dis,3783,ORA p < 1e-04,5
Unique path-gene-dis,128637,ORA p < 1e-04,5
Unique genes,4307,ORA p < 1e-04,10
Unique pathways,1135,ORA p < 1e-04,10
Unique path-dis,3494,ORA p < 1e-04,10
Unique path-gene-dis,126400,ORA p < 1e-04,10
Unique genes,4254,ORA p < 1e-04,20
Unique pathways,774,ORA p < 1e-04,20
Unique path-dis,2301,ORA p < 1e-04,20
Unique path-gene-dis,109112,ORA p < 1e-04,20
Unique genes,4149,ORA p < 1e-04,35
Unique pathways,484,ORA p < 1e-04,35
Unique path-dis,1232,ORA p < 1e-04,35
Unique path-gene-dis,81180,ORA p < 1e-04,35
Unique genes,3976,ORA p < 1e-04,50
Unique pathways,300,ORA p < 1e-04,50
Unique path-dis,690,ORA p < 1e-04,50
Unique path-gene-dis,58951,ORA p < 1e-04,50
Unique genes,4395,ORA p < 0.001,3
Unique pathways,1509,ORA p < 0.001,3
Unique path-dis,4753,ORA p < 0.001,3
Unique path-gene-dis,141642,ORA p < 0.001,3
Unique genes,4395,ORA p < 0.001,5
Unique pathways,1488,ORA p < 0.001,5
Unique path-dis,4716,ORA p < 0.001,5
Unique path-gene-dis,141501,ORA p < 0.001,5
Unique genes,4390,ORA p < 0.001,10
Unique pathways,1286,ORA p < 0.001,10
Unique path-dis,4047,ORA p < 0.001,10
Unique path-gene-dis,136557,ORA p < 0.001,10
Unique genes,4331,ORA p < 0.001,20
Unique pathways,836,ORA p < 0.001,20
Unique path-dis,2456,ORA p < 0.001,20
Unique path-gene-dis,113956,ORA p < 0.001,20
Unique genes,4220,ORA p < 0.001,35
Unique pathways,501,ORA p < 0.001,35
Unique path-dis,1269,ORA p < 0.001,35
Unique path-gene-dis,83151,ORA p < 0.001,35
Unique genes,4037,ORA p < 0.001,50
Unique pathways,306,ORA p < 0.001,50
Unique path-dis,706,ORA p < 0.001,50
Unique path-gene-dis,60113,ORA p < 0.001,50
Unique genes,4500,ORA p < 0.01,3
Unique pathways,1934,ORA p < 0.01,3
Unique path-dis,6502,ORA p < 0.01,3
Unique path-gene-dis,160068,ORA p < 0.01,3
Unique genes,4496,ORA p < 0.01,5
Unique pathways,1830,ORA p < 0.01,5
Unique path-dis,6185,ORA p < 0.01,5
Unique path-gene-dis,158906,ORA p < 0.01,5
Unique genes,4487,ORA p < 0.01,10
Unique pathways,1424,ORA p < 0.01,10
Unique path-dis,4700,ORA p < 0.01,10
Unique path-gene-dis,148474,ORA p < 0.01,10
Unique genes,4400,ORA p < 0.01,20
Unique pathways,882,ORA p < 0.01,20
Unique path-dis,2617,ORA p < 0.01,20
Unique path-gene-dis,119409,ORA p < 0.01,20
Unique genes,4274,ORA p < 0.01,35
Unique pathways,512,ORA p < 0.01,35
Unique path-dis,1305,ORA p < 0.01,35
Unique path-gene-dis,85558,ORA p < 0.01,35
Unique genes,4095,ORA p < 0.01,50
Unique pathways,310,ORA p < 0.01,50
Unique path-dis,725,ORA p < 0.01,50
Unique path-gene-dis,61835,ORA p < 0.01,50
Unique genes,4571,ORA p < 0.05,3
Unique pathways,2337,ORA p < 0.05,3
Unique path-dis,8516,ORA p < 0.05,3
Unique path-gene-dis,175681,ORA p < 0.05,3
Unique genes,4567,ORA p < 0.05,5
Unique pathways,2094,ORA p < 0.05,5
Unique path-dis,7454,ORA p < 0.05,5
Unique path-gene-dis,171944,ORA p < 0.05,5
Unique genes,4541,ORA p < 0.05,10
Unique pathways,1528,ORA p < 0.05,10
Unique path-dis,5144,ORA p < 0.05,10
Unique path-gene-dis,156208,ORA p < 0.05,10
Unique genes,4433,ORA p < 0.05,20
Unique pathways,909,ORA p < 0.05,20
Unique path-dis,2721,ORA p < 0.05,20
Unique path-gene-dis,122628,ORA p < 0.05,20
Unique genes,4297,ORA p < 0.05,35
Unique pathways,516,ORA p < 0.05,35
Unique path-dis,1321,ORA p < 0.05,35
Unique path-gene-dis,86602,ORA p < 0.05,35
Unique genes,4110,ORA p < 0.05,50
Unique pathways,310,ORA p < 0.05,50
Unique path-dis,731,ORA p < 0.05,50
Unique path-gene-dis,62459,ORA p < 0.05,50
