State,Region,Disease,KG_Pest,Incidence,Prevalence
Alabama,Southeast,Alzheimer's Disease,77320977.15,183.651297284712,1389.06505723321
Alabama,Southeast,Brain Neoplasms,74484018.4,9.38198424611772,20.9380427789625
Alabama,Southeast,Epilepsy,76161994.95,40.7511751864933,376.835570863209
Alabama,Southeast,Migraine Disorders,59262104.1,1159.09119640296,17325.9989212514
Alabama,Southeast,Multiple Sclerosis,75891510.65,2.56894680439416,103.561954426802
Alabama,Southeast,Parkinson Disease,76832504.8,45.1086880861181,157.216033851898
Arizona,Southwest,Alzheimer's Disease,35367358.2,191.041043990159,1383.15767569293
Arizona,Southwest,Brain Neoplasms,32787131.7,8.05596016235632,23.5375854233831
Arizona,Southwest,Epilepsy,33792614.7,37.3417064329218,338.500015979158
Arizona,Southwest,Migraine Disorders,27285912.85,1178.73122179909,17188.7009800903
Arizona,Southwest,Multiple Sclerosis,34974005.15,3.10164204097261,118.899274501885
Arizona,Southwest,Parkinson Disease,35434378.35,49.0379557829478,188.740329348325
Arkansas,Southeast,Alzheimer's Disease,224012818.5,192.93033068765,1406.33386592482
Arkansas,Southeast,Brain Neoplasms,211433625.3,9.19819077173685,21.4221052729797
Arkansas,Southeast,Epilepsy,220527169.25,37.162467278242,331.712286808432
Arkansas,Southeast,Migraine Disorders,178077189.85,1161.93446427052,17037.0581138555
Arkansas,Southeast,Multiple Sclerosis,215581834.6,2.50431759472485,95.4348689899128
Arkansas,Southeast,Parkinson Disease,222578264.2,39.7051937086139,135.336189632865
California,West,Alzheimer's Disease,443183471.7,170.890843957619,1209.88363516809
California,West,Brain Neoplasms,423318919.7,7.803850909094,25.9252721594367
California,West,Epilepsy,432366541.2,37.3300058336087,321.690441999979
California,West,Migraine Disorders,335770892.1,1196.96396696966,17606.1321220999
California,West,Multiple Sclerosis,431294434.5,2.60084290609488,92.2794762860933
California,West,Parkinson Disease,443156247.6,42.6570787640437,176.147353196413
Colorado,West,Alzheimer's Disease,103770481.35,178.108974484281,1289.53791677092
Colorado,West,Brain Neoplasms,94518192.15,8.39923138338914,26.2968252733812
Colorado,West,Epilepsy,102787514.75,38.1715344634101,336.635099356869
Colorado,West,Migraine Disorders,75164033.3,1183.70871149194,17482.7816140691
Colorado,West,Multiple Sclerosis,103167196.25,4.43331667508891,170.290931995203
Colorado,West,Parkinson Disease,103696724.8,45.6667030769096,179.914550146534
Connecticut,Northeast,Alzheimer's Disease,3065595,242.579338794861,1808.95144112275
Connecticut,Northeast,Brain Neoplasms,2992741.9,9.66163574529406,32.5281770201037
Connecticut,Northeast,Epilepsy,3011851.95,39.0505582164343,364.972025372728
Connecticut,Northeast,Migraine Disorders,2733879.75,1129.27264964717,17434.3597731972
Connecticut,Northeast,Multiple Sclerosis,3049394.35,3.8034519095293,165.742248032351
Connecticut,Northeast,Parkinson Disease,3064224.65,49.0449515483868,206.389320805036
Delaware,Northeast,Alzheimer's Disease,16884079.15,205.001080271807,1498.30846166423
Delaware,Northeast,Brain Neoplasms,16440259.75,8.26335385533047,22.3962114352019
Delaware,Northeast,Epilepsy,16608789.45,42.954996415055,414.652013957094
Delaware,Northeast,Migraine Disorders,15213077.6,1139.28310498526,17332.0269013278
Delaware,Northeast,Multiple Sclerosis,16816568.25,3.46445715634636,145.54817303248
Delaware,Northeast,Parkinson Disease,16865161,44.7227098554877,163.98365002737
Florida,Southeast,Alzheimer's Disease,246422600.35,256.464817963793,1902.91733544823
Florida,Southeast,Brain Neoplasms,242582174.8,9.18616342674205,25.733024620455
Florida,Southeast,Epilepsy,242712261.7,39.523502207586,379.345669446678
Florida,Southeast,Migraine Disorders,191091705.55,1099.14138289422,17137.0707346096
Florida,Southeast,Multiple Sclerosis,245728799.95,2.47857251121869,109.60009967049
Florida,Southeast,Parkinson Disease,246251129.25,56.8970878076551,227.905106035488
Georgia,Southeast,Alzheimer's Disease,207587153.1,149.213338507527,1099.74641009135
Georgia,Southeast,Brain Neoplasms,200292643.45,8.08609854412151,23.6427289597396
Georgia,Southeast,Epilepsy,202832681.9,40.7533869417322,361.914542840906
Georgia,Southeast,Migraine Disorders,153273605.7,1219.05029149054,17734.2143877953
Georgia,Southeast,Multiple Sclerosis,202852910.95,2.72550297609724,102.616478193857
