State,Region,Disease,SNPHits_Pest,Incidence,Prevalence
Alabama,Southeast,Alzheimer's Disease,55.1724349157734,183.651297284712,1389.06505723321
Alabama,Southeast,Brain Neoplasms,49.1681139284474,9.38198424611772,20.9380427789625
Alabama,Southeast,Epilepsy,12.8503289473684,40.7511751864933,376.835570863209
Alabama,Southeast,Migraine Disorders,13.3548254620123,1159.09119640296,17325.9989212514
Alabama,Southeast,Multiple Sclerosis,31.0751612903226,2.56894680439416,103.561954426802
Alabama,Southeast,Parkinson Disease,40.0781779008926,45.1086880861181,157.216033851898
Arizona,Southwest,Alzheimer's Disease,62.4974076474401,191.041043990159,1383.15767569293
Arizona,Southwest,Brain Neoplasms,54.0235592606017,8.05596016235632,23.5375854233831
Arizona,Southwest,Epilepsy,13.7236614853195,37.3417064329218,338.500015979158
Arizona,Southwest,Migraine Disorders,14.2037422037422,1178.73122179909,17188.7009800903
Arizona,Southwest,Multiple Sclerosis,34.371990505256,3.10164204097261,118.899274501885
Arizona,Southwest,Parkinson Disease,44.6273875040466,49.0379557829478,188.740329348325
Arkansas,Southeast,Alzheimer's Disease,50.4373514431239,192.93033068765,1406.33386592482
Arkansas,Southeast,Brain Neoplasms,49.1386454183267,9.19819077173685,21.4221052729797
Arkansas,Southeast,Epilepsy,12.0225208863058,37.162467278242,331.712286808432
Arkansas,Southeast,Migraine Disorders,13.3130061934254,1161.93446427052,17037.0581138555
Arkansas,Southeast,Multiple Sclerosis,29.6875901875902,2.50431759472485,95.4348689899128
Arkansas,Southeast,Parkinson Disease,37.6223967224309,39.7051937086139,135.336189632865
California,West,Alzheimer's Disease,56.2604298356511,170.890843957619,1209.88363516809
California,West,Brain Neoplasms,51.9688995215311,7.803850909094,25.9252721594367
California,West,Epilepsy,12.655933348345,37.3300058336087,321.690441999979
California,West,Migraine Disorders,13.4889441680486,1196.96396696966,17606.1321220999
California,West,Multiple Sclerosis,32.6679321125503,2.60084290609488,92.2794762860933
California,West,Parkinson Disease,40.9141955835962,42.6570787640437,176.147353196413
Colorado,West,Alzheimer's Disease,58.1806563039724,178.108974484281,1289.53791677092
Colorado,West,Brain Neoplasms,49.959323399114,8.39923138338914,26.2968252733812
Colorado,West,Epilepsy,13.0732695139912,38.1715344634101,336.635099356869
Colorado,West,Migraine Disorders,14.1026147015294,1183.70871149194,17482.7816140691
Colorado,West,Multiple Sclerosis,31.7451051486585,4.43331667508891,170.290931995203
Colorado,West,Parkinson Disease,41.1836451836452,45.6667030769096,179.914550146534
Connecticut,Northeast,Alzheimer's Disease,63.8016494845361,242.579338794861,1808.95144112275
Connecticut,Northeast,Brain Neoplasms,54.7943925233645,9.66163574529406,32.5281770201037
Connecticut,Northeast,Epilepsy,13.9464127546501,39.0505582164343,364.972025372728
Connecticut,Northeast,Migraine Disorders,14.6143006263048,1129.27264964717,17434.3597731972
Connecticut,Northeast,Multiple Sclerosis,35.8395328719723,3.8034519095293,165.742248032351
Connecticut,Northeast,Parkinson Disease,45.9331383201003,49.0449515483868,206.389320805036
Delaware,Northeast,Alzheimer's Disease,63.2810094097519,205.001080271807,1498.30846166423
Delaware,Northeast,Brain Neoplasms,50.7187802516941,8.26335385533047,22.3962114352019
Delaware,Northeast,Epilepsy,13.7124600638978,42.954996415055,414.652013957094
Delaware,Northeast,Migraine Disorders,14.6922203293583,1139.28310498526,17332.0269013278
Delaware,Northeast,Multiple Sclerosis,34.0952168082253,3.46445715634636,145.54817303248
Delaware,Northeast,Parkinson Disease,45.2198460222412,44.7227098554877,163.98365002737
Florida,Southeast,Alzheimer's Disease,58.7868383404864,256.464817963793,1902.91733544823
Florida,Southeast,Brain Neoplasms,49.350927703135,9.18616342674205,25.733024620455
Florida,Southeast,Epilepsy,12.951825713409,39.523502207586,379.345669446678
Florida,Southeast,Migraine Disorders,13.6797166293811,1099.14138289422,17137.0707346096
Florida,Southeast,Multiple Sclerosis,32.5244818263743,2.47857251121869,109.60009967049
Florida,Southeast,Parkinson Disease,42.3171780900488,56.8970878076551,227.905106035488
Georgia,Southeast,Alzheimer's Disease,55.8775172413793,149.213338507527,1099.74641009135
Georgia,Southeast,Brain Neoplasms,50.0107255520505,8.08609854412151,23.6427289597396
Georgia,Southeast,Epilepsy,12.7994668246446,40.7533869417322,361.914542840906
Georgia,Southeast,Migraine Disorders,13.3826887661142,1219.05029149054,17734.2143877953
Georgia,Southeast,Multiple Sclerosis,31.6900958466454,2.72550297609724,102.616478193857
Georgia,Southeast,Parkinson Disease,40.3923034330011,38.716381514299,137.57416214212
Idaho,West,Alzheimer's Disease,59.2903625658506,166.654811662179,1221.45261046928
Idaho,West,Brain Neoplasms,54.0296958855099,8.79670706692569,25.6548628184781
Idaho,West,Epilepsy,13.0304232804233,37.2118832407098,318.024664403898
Idaho,West,Migraine Disorders,14.1045473863153,1197.35337362898,16803.4627563063
Idaho,West,Multiple Sclerosis,33.4499507712504,4.36765989078352,160.64010333069
Idaho,West,Parkinson Disease,41.8680361033302,46.9131736738209,176.048310073426
Illinois,Midwest,Alzheimer's Disease,56.8172043010753,194.525388477769,1416.30802292335
Illinois,Midwest,Brain Neoplasms,51.0170972644377,7.95884960109794,22.8600573535641
Illinois,Midwest,Epilepsy,12.8809357541899,39.5657020878101,354.527679590522
Illinois,Midwest,Migraine Disorders,14.0340654415061,1173.51431112226,17473.7046435504
Illinois,Midwest,Multiple Sclerosis,32.6544574982723,3.36281776135228,126.779997782658
Illinois,Midwest,Parkinson Disease,40.4817232375979,43.9804117819143,172.003919516365
Indiana,Midwest,Alzheimer's Disease,57.1525779376499,214.833204188008,1640.36485485092
Indiana,Midwest,Brain Neoplasms,50.6945795691452,8.83666787188063,23.3323332808357
Indiana,Midwest,Epilepsy,12.7293136626042,41.0913302312354,374.124911273584
Indiana,Midwest,Migraine Disorders,13.8826405867971,1174.83098154373,17197.5104980886
Indiana,Midwest,Multiple Sclerosis,32.7071315372425,3.25411021923213,122.015740064721
Indiana,Midwest,Parkinson Disease,41.1939083232811,49.374029292763,192.91331239643
Iowa,Midwest,Alzheimer's Disease,55.8629247804506,204.903898403608,1405.84058403825
Iowa,Midwest,Brain Neoplasms,50.3222172149617,8.83866844387833,18.8117507284709
Iowa,Midwest,Epilepsy,12.9162239476911,34.6213487652555,293.024327021986
Iowa,Midwest,Migraine Disorders,14.167731629393,1140.97173260894,16768.3754785885
Iowa,Midwest,Multiple Sclerosis,32.1751412429379,3.15516534856936,118.540884196405
Iowa,Midwest,Parkinson Disease,39.668449197861,46.5931187579085,183.686630188201
Kansas,Midwest,Alzheimer's Disease,54.2994868035191,199.60968859069,1469.48113219243
Kansas,Midwest,Brain Neoplasms,48.1346568839016,9.11342971117137,26.3783184659831
Kansas,Midwest,Epilepsy,12.6089517078916,39.2077192155195,342.950365807196
Kansas,Midwest,Migraine Disorders,13.8375,1180.83432649245,16944.82494575
Kansas,Midwest,Multiple Sclerosis,30.5569718037853,3.28441410018523,119.682952556173
Kansas,Midwest,Parkinson Disease,38.8321087435709,51.2259825295311,208.101747504703
Kentucky,Southeast,Alzheimer's Disease,57.6430429128739,202.404492728947,1516.51883977495
Kentucky,Southeast,Brain Neoplasms,51.1936090225564,9.83311721623363,25.1464510013759
Kentucky,Southeast,Epilepsy,12.8993710691824,42.3829301931061,393.561658890618
Kentucky,Southeast,Migraine Disorders,14.0827370304115,1149.61470188107,17156.8321119236
Kentucky,Southeast,Multiple Sclerosis,32.6828679765598,2.95604387978677,119.968948431635
Kentucky,Southeast,Parkinson Disease,41.000653381248,50.3432212129509,188.373725234362
Louisiana,Southeast,Alzheimer's Disease,49.4321258690084,194.612803801738,1488.53285357638
Louisiana,Southeast,Brain Neoplasms,48.8111917983768,7.80451027374807,17.4770005488858
Louisiana,Southeast,Epilepsy,11.9784567175872,42.9666750839048,390.906260307068
Louisiana,Southeast,Migraine Disorders,13.137983706721,1174.95245953268,17211.2129132608
Louisiana,Southeast,Multiple Sclerosis,29.2431281455672,2.2766345884621,86.1513344730687
Louisiana,Southeast,Parkinson Disease,37.2497237569061,46.7014451667871,175.107109521553
Maine,Northeast,Alzheimer's Disease,63.333850129199,254.150005046145,1883.53602751439
Maine,Northeast,Brain Neoplasms,55.785079928952,10.6096767432606,27.8411964716589
Maine,Northeast,Epilepsy,14.1246490735542,37.2507854287971,343.064644178192
Maine,Northeast,Migraine Disorders,14.9294274300932,1060.60003902106,17004.4641409534
Maine,Northeast,Multiple Sclerosis,35.3821138211382,3.6221216306249,164.882861289634
Maine,Northeast,Parkinson Disease,46.2100313479624,68.4895294407783,276.904965714614
Maryland,Northeast,Alzheimer's Disease,57.8913657770801,202.47957256285,1540.06864073941
Maryland,Northeast,Brain Neoplasms,49.8380028735632,7.94741612852429,22.5014905226228
Maryland,Northeast,Epilepsy,12.6729602157788,39.46347745119,353.878574462453
Maryland,Northeast,Migraine Disorders,13.8365874363328,1167.1181522855,17752.900743255
Maryland,Northeast,Multiple Sclerosis,32.3699536730642,3.47711656822518,135.474778196827
Maryland,Northeast,Parkinson Disease,41.2060031595577,44.883789927729,175.803669970612
Massachusetts,Northeast,Alzheimer's Disease,64.2549335481273,237.057759217269,1775.8541035194
Massachusetts,Northeast,Brain Neoplasms,55.1007292616226,9.9145269880391,30.377619298294
Massachusetts,Northeast,Epilepsy,14.0095527572731,40.7778003653311,384.097639558942
Massachusetts,Northeast,Migraine Disorders,14.6743002544529,1144.15954618357,17688.9244955588
Massachusetts,Northeast,Multiple Sclerosis,35.9626960576516,3.99874986511203,158.197105214185
Massachusetts,Northeast,Parkinson Disease,46.4020408163265,50.7856764272573,209.854766051344
Michigan,Midwest,Alzheimer's Disease,57.403772472738,233.085800008891,1787.50578490159
Michigan,Midwest,Brain Neoplasms,50.3205516313488,9.09046549007823,21.3049542221727
Michigan,Midwest,Epilepsy,12.8300879396985,44.7461980314354,430.492313980339
Michigan,Midwest,Migraine Disorders,13.6725214676034,1100.07282635307,15962.6906937225
Michigan,Midwest,Multiple Sclerosis,32.4499072356215,4.0497415166024,164.604201573863
Michigan,Midwest,Parkinson Disease,41.4755120213713,52.9991930086051,206.560214960874
Minnesota,Midwest,Alzheimer's Disease,55.5255829015544,191.305688318083,1420.59326101927
Minnesota,Midwest,Brain Neoplasms,50.1442125237192,9.4191461708931,31.3578432837352
Minnesota,Midwest,Epilepsy,12.6004834254144,37.494488767748,322.840090241148
Minnesota,Midwest,Migraine Disorders,13.9112829845314,1152.90559612363,17080.3447603516
Minnesota,Midwest,Multiple Sclerosis,31.9776632302406,3.78138016519678,143.405887965433
Minnesota,Midwest,Parkinson Disease,39.2454604409857,45.8207609871214,183.284231418775
Mississippi,Southeast,Alzheimer's Disease,51.761872909699,169.385610622705,1236.36904915091
Mississippi,Southeast,Brain Neoplasms,49.0046296296296,8.78392132795706,19.0960144158632
Mississippi,Southeast,Epilepsy,12.2931281317108,36.3970932569357,310.849497891316
Mississippi,Southeast,Migraine Disorders,13.171781951443,1183.15764229126,17248.0979138891
Mississippi,Southeast,Multiple Sclerosis,29.8441926345609,2.08189449280306,76.5552283992881
Mississippi,Southeast,Parkinson Disease,38.7585743106927,38.2607176036952,125.269319531662
Missouri,Midwest,Alzheimer's Disease,52.9763967732298,222.562573344265,1670.79941311553
Missouri,Midwest,Brain Neoplasms,50.2084349947717,8.75862991699552,23.502072539434
Missouri,Midwest,Epilepsy,12.6863563402889,39.8465140826062,363.301599043507
Missouri,Midwest,Migraine Disorders,13.4893442622951,1151.93968726538,17135.5374427897
Missouri,Midwest,Multiple Sclerosis,31.2883083784645,3.30878578302412,130.585092387579
Missouri,Midwest,Parkinson Disease,38.8111510791367,54.1386108914922,217.789504291363
Montana,West,Alzheimer's Disease,55.1117647058824,226.020560147788,1630.52616702313
Montana,West,Brain Neoplasms,50.7514901421366,9.54355213167812,25.7592474959409
Montana,West,Epilepsy,12.2840434419382,40.5323851743432,371.897401387271
Montana,West,Migraine Disorders,13.8706552706553,1097.02149074877,16661.1997591066
Montana,West,Multiple Sclerosis,31.3776397515528,4.54811617284947,184.338465418355
Montana,West,Parkinson Disease,39.181068342498,54.1639651610159,201.108197772322
Nebraska,Midwest,Alzheimer's Disease,58.1681148469966,196.090972557107,1436.4984976957
Nebraska,Midwest,Brain Neoplasms,48.5598946906538,9.32393399866066,28.1530815008694
Nebraska,Midwest,Epilepsy,12.7220459952419,35.5221218446176,292.473502123433
Nebraska,Midwest,Migraine Disorders,14.1182450508293,1168.62558499515,16829.9015184492
Nebraska,Midwest,Multiple Sclerosis,31.3592156862745,3.85416758491753,141.164685288367
Nebraska,Midwest,Parkinson Disease,40.8348382242287,39.6195704473452,150.544389361403
Nevada,West,Alzheimer's Disease,60.6206311503224,138.112964584795,977.427242714465
Nevada,West,Brain Neoplasms,54.47265625,7.35310040341174,20.0833988637153
Nevada,West,Epilepsy,13.2469945355191,39.7481361746944,363.457094919837
Nevada,West,Migraine Disorders,14.149246919215,1187.73470493987,17543.0725276925
Nevada,West,Multiple Sclerosis,34.029528267915,3.71626374048273,139.702696479683
Nevada,West,Parkinson Disease,41.9717878993882,42.4360341702031,150.98461046691
New Hampshire,Northeast,Alzheimer's Disease,65.2686158063043,230.593101614132,1709.58248353359
New Hampshire,Northeast,Brain Neoplasms,56.7332641411521,10.0895298058054,29.4810257058838
New Hampshire,Northeast,Epilepsy,14.1716527709662,35.9753590135229,324.595405648681
New Hampshire,Northeast,Migraine Disorders,15.013856812933,1097.52995141108,17334.9696085837
New Hampshire,Northeast,Multiple Sclerosis,36.6477382098171,3.87485410247806,173.412467837696
New Hampshire,Northeast,Parkinson Disease,46.9272474513438,56.2778037994777,220.098634012693
New Jersey,Northeast,Alzheimer's Disease,60.6882249560633,211.942200507771,1551.39029609126
New Jersey,Northeast,Brain Neoplasms,52.2477840451249,10.5417266913429,45.2646187971105
New Jersey,Northeast,Epilepsy,13.4825889477668,43.1546228309835,400.420909399208
New Jersey,Northeast,Migraine Disorders,14.3331803579624,1141.61630270974,17403.6903922091
New Jersey,Northeast,Multiple Sclerosis,34.412987012987,3.28189398245924,135.141932580486
New Jersey,Northeast,Parkinson Disease,43.9921958141185,46.8159487019193,192.849516398335
New Mexico,Southwest,Alzheimer's Disease,55.5536085536086,205.662049525738,1481.98151579545
New Mexico,Southwest,Brain Neoplasms,49.2510273972603,7.68747160396426,22.5028894389215
New Mexico,Southwest,Epilepsy,12.9270535997463,42.7228565939195,363.440430860146
New Mexico,Southwest,Migraine Disorders,13.6139011651266,1158.08543271433,17005.581679644
New Mexico,Southwest,Multiple Sclerosis,31.714419768533,3.01079884881167,116.875394709982
New Mexico,Southwest,Parkinson Disease,40.05694692904,47.0147227836178,168.351363536669
New York,Northeast,Alzheimer's Disease,60.8350447167936,225.444833621701,1670.76188227628
New York,Northeast,Brain Neoplasms,52.1323473644293,7.62609517501325,23.2328864325017
New York,Northeast,Epilepsy,13.347965738758,43.5086086525538,408.835774152943
New York,Northeast,Migraine Disorders,14.2257785467128,1149.86863165371,17601.1249224125
New York,Northeast,Multiple Sclerosis,34.2369618480924,3.75119215931432,152.421905467364
New York,Northeast,Parkinson Disease,43.8613894455578,50.5351447894684,213.888286523291
North Carolina,Southeast,Alzheimer's Disease,55.5915296740039,181.133259107328,1318.74113841672
North Carolina,Southeast,Brain Neoplasms,49.2940241576605,8.30914076835556,21.758032721612
North Carolina,Southeast,Epilepsy,12.7806335923491,36.3416834303401,314.960768662457
North Carolina,Southeast,Migraine Disorders,13.310216256525,1174.98022018846,17476.7083803161
North Carolina,Southeast,Multiple Sclerosis,31.6880517951736,3.02481156645244,120.444627612992
North Carolina,Southeast,Parkinson Disease,40.2898062342039,45.3186915842446,167.277627621189
North Dakota,Midwest,Alzheimer's Disease,53.7393084622384,243.98553993377,1831.89797416004
North Dakota,Midwest,Brain Neoplasms,47.7923526287839,9.69006094560804,28.8700675727676
North Dakota,Midwest,Epilepsy,12.3613647284959,38.3140257002469,330.865396055788
North Dakota,Midwest,Migraine Disorders,13.8195439739414,1132.63440152179,16678.2597780845
North Dakota,Midwest,Multiple Sclerosis,31.0406309751434,4.14230958394942,148.997646106916
North Dakota,Midwest,Parkinson Disease,39.0910746812386,46.3377523014818,185.345475043528
Ohio,Midwest,Alzheimer's Disease,56.6957649092481,232.944539848321,1765.74700710752
Ohio,Midwest,Brain Neoplasms,50.8243152972612,9.09452039295945,22.8372600481125
Ohio,Midwest,Epilepsy,12.6890937019969,42.3518743968742,398.856195918577
Ohio,Midwest,Migraine Disorders,13.8763779527559,1137.96396529759,17111.5747379893
Ohio,Midwest,Multiple Sclerosis,32.8244437671442,3.61073632441671,144.657987137699
Ohio,Midwest,Parkinson Disease,40.7173410404624,52.5493762590309,203.814039972354
Oklahoma,Southwest,Alzheimer's Disease,52.0446428571429,198.019126217243,1465.00391026505
Oklahoma,Southwest,Brain Neoplasms,47.9418559876781,8.41896119578026,20.6624320339167
Oklahoma,Southwest,Epilepsy,12.3340358271865,40.0577826435665,359.530501808576
Oklahoma,Southwest,Migraine Disorders,13.416590284143,1176.96200881504,17035.632687883
Oklahoma,Southwest,Multiple Sclerosis,29.9349705984089,2.6316694725895,94.7401526740191
Oklahoma,Southwest,Parkinson Disease,38.2394039735099,45.1695065135932,160.98991485369
Oregon,West,Alzheimer's Disease,58.1408569028283,205.851029637481,1503.89968167694
Oregon,West,Brain Neoplasms,52.4847119407789,9.88024179003331,29.371961217356
Oregon,West,Epilepsy,12.8761876484561,36.1066296428649,316.013527009973
Oregon,West,Migraine Disorders,13.8227943960621,1133.35431162333,17273.1252617715
Oregon,West,Multiple Sclerosis,33.0171141929773,3.98668055570305,156.093882689611
Oregon,West,Parkinson Disease,41.7697497891482,50.1947393596782,186.984991126826
Pennsylvania,Northeast,Alzheimer's Disease,58.2454927884615,244.557059730533,1811.55327706982
Pennsylvania,Northeast,Brain Neoplasms,51.0062197650311,9.18607152263854,24.6896807701945
Pennsylvania,Northeast,Epilepsy,12.9522888459059,40.7125319827659,388.793604381985
Pennsylvania,Northeast,Migraine Disorders,14.118932038835,1117.389425494,17174.9795189646
Pennsylvania,Northeast,Multiple Sclerosis,32.9405439595193,3.82373111962932,160.069154132544
Pennsylvania,Northeast,Parkinson Disease,42.333836858006,54.8118599605218,220.332992807956
Rhode Island,Northeast,Alzheimer's Disease,66.3952038369305,255.475970846781,1935.31252831537
Rhode Island,Northeast,Brain Neoplasms,56.7998915401302,9.34390471869128,27.1289909029092
Rhode Island,Northeast,Epilepsy,14.4309193631228,42.5170264833088,415.538918364719
Rhode Island,Northeast,Migraine Disorders,15.2051901025951,1137.3882046368,17631.3482992026
Rhode Island,Northeast,Multiple Sclerosis,36.7145728643216,4.72786610036684,194.324215924951
Rhode Island,Northeast,Parkinson Disease,47.497582205029,48.4082674370117,191.861127302062
South Carolina,Southeast,Alzheimer's Disease,56.6345011876485,189.565708062693,1382.19257849726
South Carolina,Southeast,Brain Neoplasms,49.7993231810491,8.73615041003546,20.6866172904784
South Carolina,Southeast,Epilepsy,12.8979007633588,38.2008665938663,344.068926592577
South Carolina,Southeast,Migraine Disorders,13.4855330955212,1150.78814758099,17284.7658018775
South Carolina,Southeast,Multiple Sclerosis,31.7525031289111,2.75116321058522,110.759654020835
South Carolina,Southeast,Parkinson Disease,40.9808612440191,46.8225636489553,167.30486066352
South Dakota,Midwest,Alzheimer's Disease,55.2954743255004,195.473008341809,1372.57852137616
South Dakota,Midwest,Brain Neoplasms,48.4915341200616,10.0122967630153,28.9296126737972
South Dakota,Midwest,Epilepsy,12.3679633867277,41.8410924450787,380.214653817099
South Dakota,Midwest,Migraine Disorders,14.1976456009913,1142.23850695376,16478.6541377528
South Dakota,Midwest,Multiple Sclerosis,31.0806378132118,3.9021813727345,147.803429144902
South Dakota,Midwest,Parkinson Disease,39.6734693877551,41.7436666163086,167.813601381659
Tennessee,Southeast,Alzheimer's Disease,54.780946948089,195.099507502469,1453.85438183995
Tennessee,Southeast,Brain Neoplasms,50.1708278580815,8.94602965008836,21.82396653317
Tennessee,Southeast,Epilepsy,12.6430759803922,38.7152442997388,350.189383667798
Tennessee,Southeast,Migraine Disorders,13.4658650116369,1162.83205061202,17374.2131248891
Tennessee,Southeast,Multiple Sclerosis,31.6033333333333,2.89071157709392,115.19718362145
Tennessee,Southeast,Parkinson Disease,39.8345303073829,44.5346294747352,160.546537812451
Texas,Southwest,Alzheimer's Disease,53.6906092789268,164.678279180272,1237.189887684
Texas,Southwest,Brain Neoplasms,48.8697614442295,7.32401431298066,21.4114186911242
Texas,Southwest,Epilepsy,12.4636094674556,37.073241893278,343.893513002163
Texas,Southwest,Migraine Disorders,13.3275142314991,1238.70225650034,17448.9655046486
Texas,Southwest,Multiple Sclerosis,30.7181818181818,2.4198645723701,86.4050293947688
Texas,Southwest,Parkinson Disease,39.4204927211646,39.9441937092265,155.616632513869
Utah,West,Alzheimer's Disease,59.2163621262459,100.01967729575,709.387167355901
Utah,West,Brain Neoplasms,54.0150704910063,6.91502624739812,21.3396873204992
Utah,West,Epilepsy,13.1765492643781,35.9829750443652,288.433247842865
Utah,West,Migraine Disorders,14.4242424242424,1311.67151783465,17131.3216079828
Utah,West,Multiple Sclerosis,33.1062335381914,5.35515895682654,168.19507999845
Utah,West,Parkinson Disease,41.4843815077051,31.6411409125155,115.854495857215
Vermont,Northeast,Alzheimer's Disease,64.5234207133649,229.170088152368,1649.0958061531
Vermont,Northeast,Brain Neoplasms,55.6301775147929,9.60533245968774,27.1793228967089
Vermont,Northeast,Epilepsy,14.1193473193473,36.0463669055615,323.011999477197
Vermont,Northeast,Migraine Disorders,14.888582460011,1082.05480781595,17134.7571221261
Vermont,Northeast,Multiple Sclerosis,36.3598536808413,3.78979775344571,165.813112458995
Vermont,Northeast,Parkinson Disease,46.4069716775599,63.6610654260619,253.565179057316
Virginia,Southeast,Alzheimer's Disease,55.0764840182649,186.533443133339,1380.27367930327
Virginia,Southeast,Brain Neoplasms,48.9640077821012,8.09873086849552,23.7011593177197
Virginia,Southeast,Epilepsy,12.7755977927652,39.53484077308,355.030911549836
Virginia,Southeast,Migraine Disorders,13.2641653905054,1169.59539588561,17567.400424516
Virginia,Southeast,Multiple Sclerosis,31.5444947209653,3.36797909348352,131.870839619281
Virginia,Southeast,Parkinson Disease,39.7293103448276,43.0015602496667,166.185561493888
Washington,West,Alzheimer's Disease,58.3935185185185,177.546327658036,1270.29075890444
Washington,West,Brain Neoplasms,52.500664893617,8.09282583148802,18.4676159550603
Washington,West,Epilepsy,12.8551215010766,38.392619954776,335.917487079549
Washington,West,Migraine Disorders,13.8288958496476,1154.7297999599,17283.0573937232
Washington,West,Multiple Sclerosis,32.9418569254186,4.22376187673366,160.942139550298
Washington,West,Parkinson Disease,41.668509895227,48.5559287507574,189.552394196512
West Virginia,Southeast,Alzheimer's Disease,58.0416811392845,246.397293208741,1868.78708907877
West Virginia,Southeast,Brain Neoplasms,51.4763811048839,9.56964721346079,21.1517311637184
West Virginia,Southeast,Epilepsy,12.8397603893673,41.3973198556138,407.036724015112
West Virginia,Southeast,Migraine Disorders,14.187648456057,1086.78437138554,16940.3126224638
West Virginia,Southeast,Multiple Sclerosis,32.9996335654086,2.89731997929232,124.843511589192
West Virginia,Southeast,Parkinson Disease,41.975464423414,59.9114741584512,223.992918967123
Wisconsin,Midwest,Alzheimer's Disease,57.7320830542532,207.485906784764,1504.62890393489
Wisconsin,Midwest,Brain Neoplasms,51.0184899845917,9.94590840657885,30.4884052495691
Wisconsin,Midwest,Epilepsy,13.2195385724585,43.9326962901769,351.657254468725
Wisconsin,Midwest,Migraine Disorders,13.9603603603604,1139.81088599754,17061.7003150265
Wisconsin,Midwest,Multiple Sclerosis,33.0797740910695,3.98368275437535,157.514114203157
Wisconsin,Midwest,Parkinson Disease,41.3171553758005,45.7286623275231,177.236206023257
Wyoming,West,Alzheimer's Disease,59.6258992805755,173.551599018126,1229.19619872237
Wyoming,West,Brain Neoplasms,50.3434714210802,8.39136403059217,23.4168901435979
Wyoming,West,Epilepsy,12.7402473834443,40.1073021983102,351.858148809389
Wyoming,West,Migraine Disorders,14.2306188925081,1147.05425668036,16758.9145653839
Wyoming,West,Multiple Sclerosis,32.5950804162725,4.59476158326081,176.010704967762
Wyoming,West,Parkinson Disease,41.4393530997305,43.1262841847604,154.988867761039
