State,Region,Disease,GeneHits_Pest,Incidence,Prevalence
Alabama,Southeast,Alzheimer's Disease,69.5987748851455,183.651297284712,1389.06505723321
Alabama,Southeast,Brain Neoplasms,34.2921153178187,9.38198424611772,20.9380427789625
Alabama,Southeast,Epilepsy,36.3296052631579,40.7511751864933,376.835570863209
Alabama,Southeast,Migraine Disorders,19.5334702258727,1159.09119640296,17325.9989212514
Alabama,Southeast,Multiple Sclerosis,43.5212903225807,2.56894680439416,103.561954426802
Alabama,Southeast,Parkinson Disease,50.6137273007079,45.1086880861181,157.216033851898
Arizona,Southwest,Alzheimer's Disease,79.8434867141931,191.041043990159,1383.15767569293
Arizona,Southwest,Brain Neoplasms,38.9430953243929,8.05596016235632,23.5375854233831
Arizona,Southwest,Epilepsy,40.7184801381693,37.3417064329218,338.500015979158
Arizona,Southwest,Migraine Disorders,21.4303534303534,1178.73122179909,17188.7009800903
Arizona,Southwest,Multiple Sclerosis,49.3706341132587,3.10164204097261,118.899274501885
Arizona,Southwest,Parkinson Disease,57.2240207186792,49.0379557829478,188.740329348325
Arkansas,Southeast,Alzheimer's Disease,62.1996604414262,192.93033068765,1406.33386592482
Arkansas,Southeast,Brain Neoplasms,31.9266932270916,9.19819077173685,21.4221052729797
Arkansas,Southeast,Epilepsy,33.2680711950599,37.162467278242,331.712286808432
Arkansas,Southeast,Migraine Disorders,18.9461648404002,1161.93446427052,17037.0581138555
Arkansas,Southeast,Multiple Sclerosis,39.8290043290043,2.50431759472485,95.4348689899128
Arkansas,Southeast,Parkinson Disease,45.6841925571868,39.7051937086139,135.336189632865
California,West,Alzheimer's Disease,69.9808259587021,170.890843957619,1209.88363516809
California,West,Brain Neoplasms,34.7877990430622,7.803850909094,25.9252721594367
California,West,Epilepsy,36.5246566088719,37.3300058336087,321.690441999979
California,West,Migraine Disorders,19.4408512990603,1196.96396696966,17606.1321220999
California,West,Multiple Sclerosis,44.2295667708799,2.60084290609488,92.2794762860933
California,West,Parkinson Disease,50.4487907465826,42.6570787640437,176.147353196413
Colorado,West,Alzheimer's Disease,74.2183074265976,178.108974484281,1289.53791677092
Colorado,West,Brain Neoplasms,37.3378977043899,8.39923138338914,26.2968252733812
Colorado,West,Epilepsy,37.9370397643594,38.1715344634101,336.635099356869
Colorado,West,Migraine Disorders,21.565860878145,1183.70871149194,17482.7816140691
Colorado,West,Multiple Sclerosis,45.8640319071791,4.43331667508891,170.290931995203
Colorado,West,Parkinson Disease,53.6063756063756,45.6667030769096,179.914550146534
Connecticut,Northeast,Alzheimer's Disease,82.0944329896907,242.579338794861,1808.95144112275
Connecticut,Northeast,Brain Neoplasms,40.3322429906542,9.66163574529406,32.5281770201037
Connecticut,Northeast,Epilepsy,42.0318866253322,39.0505582164343,364.972025372728
Connecticut,Northeast,Migraine Disorders,22.3272442588727,1129.27264964717,17434.3597731972
Connecticut,Northeast,Multiple Sclerosis,50.9878892733564,3.8034519095293,165.742248032351
Connecticut,Northeast,Parkinson Disease,59.7342248223987,49.0449515483868,206.389320805036
Delaware,Northeast,Alzheimer's Disease,82.5111206159111,205.001080271807,1498.30846166423
Delaware,Northeast,Brain Neoplasms,40.135527589545,8.26335385533047,22.3962114352019
Delaware,Northeast,Epilepsy,41.482884527613,42.954996415055,414.652013957094
Delaware,Northeast,Migraine Disorders,22.6161272004543,1139.28310498526,17332.0269013278
Delaware,Northeast,Multiple Sclerosis,50.5091640590076,3.46445715634636,145.54817303248
Delaware,Northeast,Parkinson Disease,59.3190761334474,44.7227098554877,163.98365002737
Florida,Southeast,Alzheimer's Disease,74.4429184549356,256.464817963793,1902.91733544823
Florida,Southeast,Brain Neoplasms,36.1749840051184,9.18616342674205,25.733024620455
Florida,Southeast,Epilepsy,38.314820497085,39.523502207586,379.345669446678
Florida,Southeast,Migraine Disorders,20.2494407158837,1099.14138289422,17137.0707346096
Florida,Southeast,Multiple Sclerosis,46.2072694502854,2.47857251121869,109.60009967049
Florida,Southeast,Parkinson Disease,53.6842558072842,56.8970878076551,227.905106035488
Georgia,Southeast,Alzheimer's Disease,69.7851034482759,149.213338507527,1099.74641009135
Georgia,Southeast,Brain Neoplasms,34.7347003154574,8.08609854412151,23.6427289597396
Georgia,Southeast,Epilepsy,36.5071090047393,40.7533869417322,361.914542840906
Georgia,Southeast,Migraine Disorders,19.6180478821363,1219.05029149054,17734.2143877953
Georgia,Southeast,Multiple Sclerosis,43.7731629392971,2.72550297609724,102.616478193857
Georgia,Southeast,Parkinson Disease,50.6143410852713,38.716381514299,137.57416214212
Idaho,West,Alzheimer's Disease,75.4480942051441,166.654811662179,1221.45261046928
Idaho,West,Brain Neoplasms,37.9735241502683,8.79670706692569,25.6548628184781
Idaho,West,Epilepsy,38.6676587301587,37.2118832407098,318.024664403898
Idaho,West,Migraine Disorders,21.3183170420739,1197.35337362898,16803.4627563063
Idaho,West,Multiple Sclerosis,47.3734821135543,4.36765989078352,160.64010333069
Idaho,West,Parkinson Disease,54.4195455960162,46.9131736738209,176.048310073426
Illinois,Midwest,Alzheimer's Disease,71.4131638970349,194.525388477769,1416.30802292335
Illinois,Midwest,Brain Neoplasms,35.8681610942249,7.95884960109794,22.8600573535641
Illinois,Midwest,Epilepsy,37.2259078212291,39.5657020878101,354.527679590522
