State,Region,Disease,SNPs_Pest,Incidence,Prevalence
Alabama,Southeast,Alzheimer's Disease,53.9244444444445,183.651297284712,1389.06505723321
Alabama,Southeast,Brain Neoplasms,51.4314720812183,9.38198424611772,20.9380427789625
Alabama,Southeast,Epilepsy,12.1469194312796,40.7511751864933,376.835570863209
Alabama,Southeast,Migraine Disorders,13.0350877192982,1159.09119640296,17325.9989212514
Alabama,Southeast,Multiple Sclerosis,31.3598130841122,2.56894680439416,103.561954426802
Alabama,Southeast,Parkinson Disease,39.0535714285714,45.1086880861181,157.216033851898
Arizona,Southwest,Alzheimer's Disease,54.6650485436893,191.041043990159,1383.15767569293
Arizona,Southwest,Brain Neoplasms,50.7182320441989,8.05596016235632,23.5375854233831
Arizona,Southwest,Epilepsy,12.2303664921466,37.3417064329218,338.500015979158
Arizona,Southwest,Migraine Disorders,13.359477124183,1178.73122179909,17188.7009800903
Arizona,Southwest,Multiple Sclerosis,31.6082474226804,3.10164204097261,118.899274501885
Arizona,Southwest,Parkinson Disease,39.5756097560976,49.0379557829478,188.740329348325
Arkansas,Southeast,Alzheimer's Disease,52.8440366972477,192.93033068765,1406.33386592482
Arkansas,Southeast,Brain Neoplasms,49.5789473684211,9.19819077173685,21.4221052729797
Arkansas,Southeast,Epilepsy,11.9563106796117,37.162467278242,331.712286808432
Arkansas,Southeast,Migraine Disorders,12.8650306748466,1161.93446427052,17037.0581138555
Arkansas,Southeast,Multiple Sclerosis,30.0336538461539,2.50431759472485,95.4348689899128
Arkansas,Southeast,Parkinson Disease,38.537037037037,39.7051937086139,135.336189632865
California,West,Alzheimer's Disease,51.8571428571429,170.890843957619,1209.88363516809
California,West,Brain Neoplasms,50.0277777777778,7.803850909094,25.9252721594367
California,West,Epilepsy,11.5670995670996,37.3300058336087,321.690441999979
California,West,Migraine Disorders,12.6844919786096,1196.96396696966,17606.1321220999
California,West,Multiple Sclerosis,30.8146551724138,2.60084290609488,92.2794762860933
California,West,Parkinson Disease,37.3591836734694,42.6570787640437,176.147353196413
Colorado,West,Alzheimer's Disease,55.3141361256545,178.108974484281,1289.53791677092
Colorado,West,Brain Neoplasms,48.6727272727273,8.39923138338914,26.2968252733812
Colorado,West,Epilepsy,12.0777777777778,38.1715344634101,336.635099356869
Colorado,West,Migraine Disorders,13.3714285714286,1183.70871149194,17482.7816140691
Colorado,West,Multiple Sclerosis,30.8688524590164,4.43331667508891,170.290931995203
Colorado,West,Parkinson Disease,40.1315789473684,45.6667030769096,179.914550146534
Connecticut,Northeast,Alzheimer's Disease,60.9554140127389,242.579338794861,1808.95144112275
Connecticut,Northeast,Brain Neoplasms,54.7898550724638,9.66163574529406,32.5281770201037
Connecticut,Northeast,Epilepsy,13.1700680272109,39.0505582164343,364.972025372728
Connecticut,Northeast,Migraine Disorders,14.2213114754098,1129.27264964717,17434.3597731972
Connecticut,Northeast,Multiple Sclerosis,34.3087248322148,3.8034519095293,165.742248032351
Connecticut,Northeast,Parkinson Disease,44.7483870967742,49.0449515483868,206.389320805036
Delaware,Northeast,Alzheimer's Disease,57.0112994350283,205.001080271807,1498.30846166423
Delaware,Northeast,Brain Neoplasms,48.4774193548387,8.26335385533047,22.3962114352019
Delaware,Northeast,Epilepsy,12.5357142857143,42.954996415055,414.652013957094
Delaware,Northeast,Migraine Disorders,13.530303030303,1139.28310498526,17332.0269013278
Delaware,Northeast,Multiple Sclerosis,31.9345238095238,3.46445715634636,145.54817303248
Delaware,Northeast,Parkinson Disease,40.6723163841808,44.7227098554877,163.98365002737
Florida,Southeast,Alzheimer's Disease,53.2103004291846,256.464817963793,1902.91733544823
Florida,Southeast,Brain Neoplasms,49.8975609756098,9.18616342674205,25.733024620455
Florida,Southeast,Epilepsy,11.8858447488584,39.523502207586,379.345669446678
Florida,Southeast,Migraine Disorders,12.9608938547486,1099.14138289422,17137.0707346096
Florida,Southeast,Multiple Sclerosis,31.5720720720721,2.47857251121869,109.60009967049
Florida,Southeast,Parkinson Disease,38.4698275862069,56.8970878076551,227.905106035488
Georgia,Southeast,Alzheimer's Disease,53.5064377682404,149.213338507527,1099.74641009135
Georgia,Southeast,Brain Neoplasms,51.2216748768473,8.08609854412151,23.6427289597396
Georgia,Southeast,Epilepsy,11.9680365296804,40.7533869417322,361.914542840906
Georgia,Southeast,Migraine Disorders,12.9772727272727,1219.05029149054,17734.2143877953
Georgia,Southeast,Multiple Sclerosis,31.0765765765766,2.72550297609724,102.616478193857
Georgia,Southeast,Parkinson Disease,38.4655172413793,38.716381514299,137.57416214212
Idaho,West,Alzheimer's Disease,54.8373205741627,166.654811662179,1221.45261046928
Idaho,West,Brain Neoplasms,50,8.79670706692569,25.6548628184781
Idaho,West,Epilepsy,12.1979695431472,37.2118832407098,318.024664403898
Idaho,West,Migraine Disorders,13.1548387096774,1197.35337362898,16803.4627563063
Idaho,West,Multiple Sclerosis,31.3316582914573,4.36765989078352,160.64010333069
Idaho,West,Parkinson Disease,39.8653846153846,46.9131736738209,176.048310073426
Illinois,Midwest,Alzheimer's Disease,54.3827751196172,194.525388477769,1416.30802292335
Illinois,Midwest,Brain Neoplasms,50.2666666666667,7.95884960109794,22.8600573535641
Illinois,Midwest,Epilepsy,12.2358974358974,39.5657020878101,354.527679590522
