State,Region,Disease,PestHits,Incidence,Prevalence,Type
Alabama,Southeast,Alzheimer's Disease,71,183.651297284712,1389.06505723321,Insecticide
Alabama,Southeast,Brain Neoplasms,64,9.38198424611772,20.9380427789625,Insecticide
Alabama,Southeast,Epilepsy,66,40.7511751864933,376.835570863209,Insecticide
Alabama,Southeast,Migraine Disorders,57,1159.09119640296,17325.9989212514,Insecticide
Alabama,Southeast,Multiple Sclerosis,68,2.56894680439416,103.561954426802,Insecticide
Alabama,Southeast,Parkinson Disease,70,45.1086880861181,157.216033851898,Insecticide
Arizona,Southwest,Alzheimer's Disease,73,191.041043990159,1383.15767569293,Insecticide
Arizona,Southwest,Brain Neoplasms,65,8.05596016235632,23.5375854233831,Insecticide
Arizona,Southwest,Epilepsy,68,37.3417064329218,338.500015979158,Insecticide
Arizona,Southwest,Migraine Disorders,58,1178.73122179909,17188.7009800903,Insecticide
Arizona,Southwest,Multiple Sclerosis,70,3.10164204097261,118.899274501885,Insecticide
Arizona,Southwest,Parkinson Disease,72,49.0379557829478,188.740329348325,Insecticide
Arkansas,Southeast,Alzheimer's Disease,71,192.93033068765,1406.33386592482,Insecticide
Arkansas,Southeast,Brain Neoplasms,64,9.19819077173685,21.4221052729797,Insecticide
Arkansas,Southeast,Epilepsy,68,37.162467278242,331.712286808432,Insecticide
Arkansas,Southeast,Migraine Disorders,57,1161.93446427052,17037.0581138555,Insecticide
Arkansas,Southeast,Multiple Sclerosis,69,2.50431759472485,95.4348689899128,Insecticide
Arkansas,Southeast,Parkinson Disease,69,39.7051937086139,135.336189632865,Insecticide
California,West,Alzheimer's Disease,83,170.890843957619,1209.88363516809,Insecticide
California,West,Brain Neoplasms,75,7.803850909094,25.9252721594367,Insecticide
California,West,Epilepsy,78,37.3300058336087,321.690441999979,Insecticide
California,West,Migraine Disorders,68,1196.96396696966,17606.1321220999,Insecticide
California,West,Multiple Sclerosis,80,2.60084290609488,92.2794762860933,Insecticide
California,West,Parkinson Disease,82,42.6570787640437,176.147353196413,Insecticide
Colorado,West,Alzheimer's Disease,65,178.108974484281,1289.53791677092,Insecticide
Colorado,West,Brain Neoplasms,58,8.39923138338914,26.2968252733812,Insecticide
Colorado,West,Epilepsy,62,38.1715344634101,336.635099356869,Insecticide
Colorado,West,Migraine Disorders,51,1183.70871149194,17482.7816140691,Insecticide
Colorado,West,Multiple Sclerosis,64,4.43331667508891,170.290931995203,Insecticide
Colorado,West,Parkinson Disease,65,45.6667030769096,179.914550146534,Insecticide
Connecticut,Northeast,Alzheimer's Disease,56,242.579338794861,1808.95144112275,Insecticide
Connecticut,Northeast,Brain Neoplasms,51,9.66163574529406,32.5281770201037,Insecticide
Connecticut,Northeast,Epilepsy,52,39.0505582164343,364.972025372728,Insecticide
Connecticut,Northeast,Migraine Disorders,46,1129.27264964717,17434.3597731972,Insecticide
Connecticut,Northeast,Multiple Sclerosis,54,3.8034519095293,165.742248032351,Insecticide
Connecticut,Northeast,Parkinson Disease,56,49.0449515483868,206.389320805036,Insecticide
Delaware,Northeast,Alzheimer's Disease,57,205.001080271807,1498.30846166423,Insecticide
Delaware,Northeast,Brain Neoplasms,51,8.26335385533047,22.3962114352019,Insecticide
Delaware,Northeast,Epilepsy,54,42.954996415055,414.652013957094,Insecticide
Delaware,Northeast,Migraine Disorders,46,1139.28310498526,17332.0269013278,Insecticide
Delaware,Northeast,Multiple Sclerosis,55,3.46445715634636,145.54817303248,Insecticide
Delaware,Northeast,Parkinson Disease,57,44.7227098554877,163.98365002737,Insecticide
Florida,Southeast,Alzheimer's Disease,77,256.464817963793,1902.91733544823,Insecticide
Florida,Southeast,Brain Neoplasms,70,9.18616342674205,25.733024620455,Insecticide
Florida,Southeast,Epilepsy,72,39.523502207586,379.345669446678,Insecticide
Florida,Southeast,Migraine Disorders,63,1099.14138289422,17137.0707346096,Insecticide
Florida,Southeast,Multiple Sclerosis,74,2.47857251121869,109.60009967049,Insecticide
Florida,Southeast,Parkinson Disease,76,56.8970878076551,227.905106035488,Insecticide
Georgia,Southeast,Alzheimer's Disease,76,149.213338507527,1099.74641009135,Insecticide
Georgia,Southeast,Brain Neoplasms,68,8.08609854412151,23.6427289597396,Insecticide
Georgia,Southeast,Epilepsy,71,40.7533869417322,361.914542840906,Insecticide
Georgia,Southeast,Migraine Disorders,61,1219.05029149054,17734.2143877953,Insecticide
Georgia,Southeast,Multiple Sclerosis,73,2.72550297609724,102.616478193857,Insecticide
Georgia,Southeast,Parkinson Disease,75,38.716381514299,137.57416214212,Insecticide
Idaho,West,Alzheimer's Disease,73,166.654811662179,1221.45261046928,Insecticide
Idaho,West,Brain Neoplasms,65,8.79670706692569,25.6548628184781,Insecticide
Idaho,West,Epilepsy,69,37.2118832407098,318.024664403898,Insecticide
Idaho,West,Migraine Disorders,58,1197.35337362898,16803.4627563063,Insecticide
Idaho,West,Multiple Sclerosis,71,4.36765989078352,160.64010333069,Insecticide
Idaho,West,Parkinson Disease,72,46.9131736738209,176.048310073426,Insecticide
Illinois,Midwest,Alzheimer's Disease,68,194.525388477769,1416.30802292335,Insecticide
Illinois,Midwest,Brain Neoplasms,60,7.95884960109794,22.8600573535641,Insecticide
Illinois,Midwest,Epilepsy,63,39.5657020878101,354.527679590522,Insecticide
Illinois,Midwest,Migraine Disorders,53,1173.51431112226,17473.7046435504,Insecticide
Illinois,Midwest,Multiple Sclerosis,65,3.36281776135228,126.779997782658,Insecticide
Illinois,Midwest,Parkinson Disease,67,43.9804117819143,172.003919516365,Insecticide
Indiana,Midwest,Alzheimer's Disease,67,214.833204188008,1640.36485485092,Insecticide
Indiana,Midwest,Brain Neoplasms,60,8.83666787188063,23.3323332808357,Insecticide
Indiana,Midwest,Epilepsy,63,41.0913302312354,374.124911273584,Insecticide
Indiana,Midwest,Migraine Disorders,53,1174.83098154373,17197.5104980886,Insecticide
Indiana,Midwest,Multiple Sclerosis,65,3.25411021923213,122.015740064721,Insecticide
Indiana,Midwest,Parkinson Disease,66,49.374029292763,192.91331239643,Insecticide
Iowa,Midwest,Alzheimer's Disease,56,204.903898403608,1405.84058403825,Insecticide
Iowa,Midwest,Brain Neoplasms,51,8.83866844387833,18.8117507284709,Insecticide
Iowa,Midwest,Epilepsy,53,34.6213487652555,293.024327021986,Insecticide
Iowa,Midwest,Migraine Disorders,45,1140.97173260894,16768.3754785885,Insecticide
Iowa,Midwest,Multiple Sclerosis,55,3.15516534856936,118.540884196405,Insecticide
Iowa,Midwest,Parkinson Disease,56,46.5931187579085,183.686630188201,Insecticide
Kansas,Midwest,Alzheimer's Disease,61,199.60968859069,1469.48113219243,Insecticide
Kansas,Midwest,Brain Neoplasms,55,9.11342971117137,26.3783184659831,Insecticide
Kansas,Midwest,Epilepsy,58,39.2077192155195,342.950365807196,Insecticide
Kansas,Midwest,Migraine Disorders,49,1180.83432649245,16944.82494575,Insecticide
Kansas,Midwest,Multiple Sclerosis,60,3.28441410018523,119.682952556173,Insecticide
Kansas,Midwest,Parkinson Disease,60,51.2259825295311,208.101747504703,Insecticide
Kentucky,Southeast,Alzheimer's Disease,65,202.404492728947,1516.51883977495,Insecticide
Kentucky,Southeast,Brain Neoplasms,57,9.83311721623363,25.1464510013759,Insecticide
Kentucky,Southeast,Epilepsy,61,42.3829301931061,393.561658890618,Insecticide
Kentucky,Southeast,Migraine Disorders,51,1149.61470188107,17156.8321119236,Insecticide
Kentucky,Southeast,Multiple Sclerosis,62,2.95604387978677,119.968948431635,Insecticide
Kentucky,Southeast,Parkinson Disease,64,50.3432212129509,188.373725234362,Insecticide
Louisiana,Southeast,Alzheimer's Disease,66,194.612803801738,1488.53285357638,Insecticide
Louisiana,Southeast,Brain Neoplasms,60,7.80451027374807,17.4770005488858,Insecticide
Louisiana,Southeast,Epilepsy,62,42.9666750839048,390.906260307068,Insecticide
Louisiana,Southeast,Migraine Disorders,53,1174.95245953268,17211.2129132608,Insecticide
Louisiana,Southeast,Multiple Sclerosis,63,2.2766345884621,86.1513344730687,Insecticide
Louisiana,Southeast,Parkinson Disease,65,46.7014451667871,175.107109521553,Insecticide
Maine,Northeast,Alzheimer's Disease,49,254.150005046145,1883.53602751439,Insecticide
Maine,Northeast,Brain Neoplasms,44,10.6096767432606,27.8411964716589,Insecticide
Maine,Northeast,Epilepsy,46,37.2507854287971,343.064644178192,Insecticide
Maine,Northeast,Migraine Disorders,38,1060.60003902106,17004.4641409534,Insecticide
Maine,Northeast,Multiple Sclerosis,48,3.6221216306249,164.882861289634,Insecticide
Maine,Northeast,Parkinson Disease,49,68.4895294407783,276.904965714614,Insecticide
Maryland,Northeast,Alzheimer's Disease,66,202.47957256285,1540.06864073941,Insecticide
Maryland,Northeast,Brain Neoplasms,58,7.94741612852429,22.5014905226228,Insecticide
Maryland,Northeast,Epilepsy,62,39.46347745119,353.878574462453,Insecticide
Maryland,Northeast,Migraine Disorders,52,1167.1181522855,17752.900743255,Insecticide
Maryland,Northeast,Multiple Sclerosis,64,3.47711656822518,135.474778196827,Insecticide
Maryland,Northeast,Parkinson Disease,65,44.883789927729,175.803669970612,Insecticide
Massachusetts,Northeast,Alzheimer's Disease,58,237.057759217269,1775.8541035194,Insecticide
Massachusetts,Northeast,Brain Neoplasms,53,9.9145269880391,30.377619298294,Insecticide
Massachusetts,Northeast,Epilepsy,54,40.7778003653311,384.097639558942,Insecticide
Massachusetts,Northeast,Migraine Disorders,48,1144.15954618357,17688.9244955588,Insecticide
Massachusetts,Northeast,Multiple Sclerosis,56,3.99874986511203,158.197105214185,Insecticide
Massachusetts,Northeast,Parkinson Disease,58,50.7856764272573,209.854766051344,Insecticide
Michigan,Midwest,Alzheimer's Disease,70,233.085800008891,1787.50578490159,Insecticide
Michigan,Midwest,Brain Neoplasms,62,9.09046549007823,21.3049542221727,Insecticide
Michigan,Midwest,Epilepsy,65,44.7461980314354,430.492313980339,Insecticide
Michigan,Midwest,Migraine Disorders,55,1100.07282635307,15962.6906937225,Insecticide
Michigan,Midwest,Multiple Sclerosis,67,4.0497415166024,164.604201573863,Insecticide
Michigan,Midwest,Parkinson Disease,69,52.9991930086051,206.560214960874,Insecticide
Minnesota,Midwest,Alzheimer's Disease,53,191.305688318083,1420.59326101927,Insecticide
Minnesota,Midwest,Brain Neoplasms,48,9.4191461708931,31.3578432837352,Insecticide
Minnesota,Midwest,Epilepsy,51,37.494488767748,322.840090241148,Insecticide
Minnesota,Midwest,Migraine Disorders,42,1152.90559612363,17080.3447603516,Insecticide
Minnesota,Midwest,Multiple Sclerosis,53,3.78138016519678,143.405887965433,Insecticide
Minnesota,Midwest,Parkinson Disease,53,45.8207609871214,183.284231418775,Insecticide
Mississippi,Southeast,Alzheimer's Disease,68,169.385610622705,1236.36904915091,Insecticide
Mississippi,Southeast,Brain Neoplasms,62,8.78392132795706,19.0960144158632,Insecticide
Mississippi,Southeast,Epilepsy,64,36.3970932569357,310.849497891316,Insecticide
Mississippi,Southeast,Migraine Disorders,55,1183.15764229126,17248.0979138891,Insecticide
Mississippi,Southeast,Multiple Sclerosis,65,2.08189449280306,76.5552283992881,Insecticide
Mississippi,Southeast,Parkinson Disease,67,38.2607176036952,125.269319531662,Insecticide
Missouri,Midwest,Alzheimer's Disease,76,222.562573344265,1670.79941311553,Insecticide
Missouri,Midwest,Brain Neoplasms,68,8.75862991699552,23.502072539434,Insecticide
Missouri,Midwest,Epilepsy,72,39.8465140826062,363.301599043507,Insecticide
Missouri,Midwest,Migraine Disorders,61,1151.93968726538,17135.5374427897,Insecticide
Missouri,Midwest,Multiple Sclerosis,73,3.30878578302412,130.585092387579,Insecticide
Missouri,Midwest,Parkinson Disease,75,54.1386108914922,217.789504291363,Insecticide
Montana,West,Alzheimer's Disease,45,226.020560147788,1630.52616702313,Insecticide
Montana,West,Brain Neoplasms,41,9.54355213167812,25.7592474959409,Insecticide
Montana,West,Epilepsy,43,40.5323851743432,371.897401387271,Insecticide
Montana,West,Migraine Disorders,36,1097.02149074877,16661.1997591066,Insecticide
Montana,West,Multiple Sclerosis,45,4.54811617284947,184.338465418355,Insecticide
Montana,West,Parkinson Disease,45,54.1639651610159,201.108197772322,Insecticide
Nebraska,Midwest,Alzheimer's Disease,53,196.090972557107,1436.4984976957,Insecticide
Nebraska,Midwest,Brain Neoplasms,48,9.32393399866066,28.1530815008694,Insecticide
Nebraska,Midwest,Epilepsy,51,35.5221218446176,292.473502123433,Insecticide
Nebraska,Midwest,Migraine Disorders,42,1168.62558499515,16829.9015184492,Insecticide
Nebraska,Midwest,Multiple Sclerosis,53,3.85416758491753,141.164685288367,Insecticide
Nebraska,Midwest,Parkinson Disease,53,39.6195704473452,150.544389361403,Insecticide
Nevada,West,Alzheimer's Disease,70,138.112964584795,977.427242714465,Insecticide
Nevada,West,Brain Neoplasms,63,7.35310040341174,20.0833988637153,Insecticide
Nevada,West,Epilepsy,65,39.7481361746944,363.457094919837,Insecticide
Nevada,West,Migraine Disorders,56,1187.73470493987,17543.0725276925,Insecticide
Nevada,West,Multiple Sclerosis,67,3.71626374048273,139.702696479683,Insecticide
Nevada,West,Parkinson Disease,69,42.4360341702031,150.98461046691,Insecticide
New Hampshire,Northeast,Alzheimer's Disease,51,230.593101614132,1709.58248353359,Insecticide
New Hampshire,Northeast,Brain Neoplasms,47,10.0895298058054,29.4810257058838,Insecticide
New Hampshire,Northeast,Epilepsy,48,35.9753590135229,324.595405648681,Insecticide
New Hampshire,Northeast,Migraine Disorders,42,1097.52995141108,17334.9696085837,Insecticide
New Hampshire,Northeast,Multiple Sclerosis,49,3.87485410247806,173.412467837696,Insecticide
New Hampshire,Northeast,Parkinson Disease,51,56.2778037994777,220.098634012693,Insecticide
New Jersey,Northeast,Alzheimer's Disease,68,211.942200507771,1551.39029609126,Insecticide
New Jersey,Northeast,Brain Neoplasms,62,10.5417266913429,45.2646187971105,Insecticide
New Jersey,Northeast,Epilepsy,64,43.1546228309835,400.420909399208,Insecticide
New Jersey,Northeast,Migraine Disorders,56,1141.61630270974,17403.6903922091,Insecticide
New Jersey,Northeast,Multiple Sclerosis,66,3.28189398245924,135.141932580486,Insecticide
New Jersey,Northeast,Parkinson Disease,68,46.8159487019193,192.849516398335,Insecticide
New Mexico,Southwest,Alzheimer's Disease,74,205.662049525738,1481.98151579545,Insecticide
New Mexico,Southwest,Brain Neoplasms,66,7.68747160396426,22.5028894389215,Insecticide
New Mexico,Southwest,Epilepsy,69,42.7228565939195,363.440430860146,Insecticide
New Mexico,Southwest,Migraine Disorders,59,1158.08543271433,17005.581679644,Insecticide
New Mexico,Southwest,Multiple Sclerosis,71,3.01079884881167,116.875394709982,Insecticide
New Mexico,Southwest,Parkinson Disease,73,47.0147227836178,168.351363536669,Insecticide
New York,Northeast,Alzheimer's Disease,75,225.444833621701,1670.76188227628,Insecticide
New York,Northeast,Brain Neoplasms,67,7.62609517501325,23.2328864325017,Insecticide
New York,Northeast,Epilepsy,70,43.5086086525538,408.835774152943,Insecticide
New York,Northeast,Migraine Disorders,60,1149.86863165371,17601.1249224125,Insecticide
New York,Northeast,Multiple Sclerosis,72,3.75119215931432,152.421905467364,Insecticide
New York,Northeast,Parkinson Disease,74,50.5351447894684,213.888286523291,Insecticide
North Carolina,Southeast,Alzheimer's Disease,75,181.133259107328,1318.74113841672,Insecticide
North Carolina,Southeast,Brain Neoplasms,67,8.30914076835556,21.758032721612,Insecticide
North Carolina,Southeast,Epilepsy,71,36.3416834303401,314.960768662457,Insecticide
North Carolina,Southeast,Migraine Disorders,60,1174.98022018846,17476.7083803161,Insecticide
North Carolina,Southeast,Multiple Sclerosis,73,3.02481156645244,120.444627612992,Insecticide
North Carolina,Southeast,Parkinson Disease,74,45.3186915842446,167.277627621189,Insecticide
