State,Region,Disease,PestHits,Incidence,Prevalence
Alabama,Southeast,Alzheimer's Disease,60.7962756052142,183.651297284712,1389.06505723321
Alabama,Southeast,Brain Neoplasms,52.3063249276561,9.38198424611772,20.9380427789625
Alabama,Southeast,Epilepsy,13.2894211576846,40.7511751864933,376.835570863209
Alabama,Southeast,Migraine Disorders,13.9966362325805,1159.09119640296,17325.9989212514
Alabama,Southeast,Multiple Sclerosis,32.8695821944553,2.56894680439416,103.561954426802
Alabama,Southeast,Parkinson Disease,43.4026946107784,45.1086880861181,157.216033851898
Arizona,Southwest,Alzheimer's Disease,66.1634510374955,191.041043990159,1383.15767569293
Arizona,Southwest,Brain Neoplasms,55.9098261221189,8.05596016235632,23.5375854233831
Arizona,Southwest,Epilepsy,13.8620689655172,37.3417064329218,338.500015979158
Arizona,Southwest,Migraine Disorders,14.7221963704048,1178.73122179909,17188.7009800903
Arizona,Southwest,Multiple Sclerosis,35.4150302114804,3.10164204097261,118.899274501885
Arizona,Southwest,Parkinson Disease,47.053343076361,49.0379557829478,188.740329348325
Arkansas,Southeast,Alzheimer's Disease,56.994347826087,192.93033068765,1406.33386592482
Arkansas,Southeast,Brain Neoplasms,52.5134211810639,9.19819077173685,21.4221052729797
Arkansas,Southeast,Epilepsy,12.7704460966543,37.162467278242,331.712286808432
Arkansas,Southeast,Migraine Disorders,14.0723721998851,1161.93446427052,17037.0581138555
Arkansas,Southeast,Multiple Sclerosis,31.8736363636364,2.50431759472485,95.4348689899128
Arkansas,Southeast,Parkinson Disease,41.763548951049,39.7051937086139,135.336189632865
California,West,Alzheimer's Disease,62.2078099399235,170.890843957619,1209.88363516809
California,West,Brain Neoplasms,54.1342178340019,7.803850909094,25.9252721594367
California,West,Epilepsy,13.1574344023324,37.3300058336087,321.690441999979
California,West,Migraine Disorders,14.3915662650602,1196.96396696966,17606.1321220999
California,West,Multiple Sclerosis,34.3052116325943,2.60084290609488,92.2794762860933
California,West,Parkinson Disease,45.3568681318681,42.6570787640437,176.147353196413
Colorado,West,Alzheimer's Disease,63.905752753978,178.108974484281,1289.53791677092
Colorado,West,Brain Neoplasms,54.2384937238494,8.39923138338914,26.2968252733812
Colorado,West,Epilepsy,13.8524374176548,38.1715344634101,336.635099356869
Colorado,West,Migraine Disorders,14.6014412416851,1183.70871149194,17482.7816140691
Colorado,West,Multiple Sclerosis,33.9231097821444,4.43331667508891,170.290931995203
Colorado,West,Parkinson Disease,44.2833742833743,45.6667030769096,179.914550146534
Connecticut,Northeast,Alzheimer's Disease,63.8016494845361,242.579338794861,1808.95144112275
Connecticut,Northeast,Brain Neoplasms,54.7943925233645,9.66163574529406,32.5281770201037
Connecticut,Northeast,Epilepsy,13.9464127546501,39.0505582164343,364.972025372728
Connecticut,Northeast,Migraine Disorders,14.6143006263048,1129.27264964717,17434.3597731972
Connecticut,Northeast,Multiple Sclerosis,35.8395328719723,3.8034519095293,165.742248032351
Connecticut,Northeast,Parkinson Disease,45.9331383201003,49.0449515483868,206.389320805036
Delaware,Northeast,Alzheimer's Disease,65.9754210286755,205.001080271807,1498.30846166423
Delaware,Northeast,Brain Neoplasms,52.969481180061,8.26335385533047,22.3962114352019
Delaware,Northeast,Epilepsy,14.064453125,42.954996415055,414.652013957094
Delaware,Northeast,Migraine Disorders,14.8641176470588,1139.28310498526,17332.0269013278
Delaware,Northeast,Multiple Sclerosis,35.2736792003808,3.46445715634636,145.54817303248
Delaware,Northeast,Parkinson Disease,46.749430523918,44.7227098554877,163.98365002737
Florida,Southeast,Alzheimer's Disease,63.7962900505902,256.464817963793,1902.91733544823
Florida,Southeast,Brain Neoplasms,51.6593118922962,9.18616342674205,25.733024620455
Florida,Southeast,Epilepsy,13.2771955186122,39.523502207586,379.345669446678
Florida,Southeast,Migraine Disorders,14.3763020833333,1099.14138289422,17137.0707346096
Florida,Southeast,Multiple Sclerosis,34.1162955107812,2.47857251121869,109.60009967049
Florida,Southeast,Parkinson Disease,45.2961837217156,56.8970878076551,227.905106035488
Georgia,Southeast,Alzheimer's Disease,60.8662943495401,149.213338507527,1099.74641009135
Georgia,Southeast,Brain Neoplasms,52.5510128913444,8.08609854412151,23.6427289597396
Georgia,Southeast,Epilepsy,13.180985915493,40.7533869417322,361.914542840906
Georgia,Southeast,Migraine Disorders,13.9481733220051,1219.05029149054,17734.2143877953
Georgia,Southeast,Multiple Sclerosis,33.237504308859,2.72550297609724,102.616478193857
Georgia,Southeast,Parkinson Disease,43.3543177323665,38.716381514299,137.57416214212
Idaho,West,Alzheimer's Disease,62.7989565217391,166.654811662179,1221.45261046928
Idaho,West,Brain Neoplasms,56.5706889685384,8.79670706692569,25.6548628184781
Idaho,West,Epilepsy,13.485447761194,37.2118832407098,318.024664403898
Idaho,West,Migraine Disorders,14.5148837209302,1197.35337362898,16803.4627563063
Idaho,West,Multiple Sclerosis,34.7954461990452,4.36765989078352,160.64010333069
Idaho,West,Parkinson Disease,43.9937018894332,46.9131736738209,176.048310073426
Illinois,Midwest,Alzheimer's Disease,61.2950450450451,194.525388477769,1416.30802292335
Illinois,Midwest,Brain Neoplasms,54.8952991452992,7.95884960109794,22.8600573535641
Illinois,Midwest,Epilepsy,13.5289356535815,39.5657020878101,354.527679590522
Illinois,Midwest,Migraine Disorders,14.4838227974116,1173.51431112226,17473.7046435504
Illinois,Midwest,Multiple Sclerosis,34.3031386571315,3.36281776135228,126.779997782658
Illinois,Midwest,Parkinson Disease,42.8199924840286,43.9804117819143,172.003919516365
Indiana,Midwest,Alzheimer's Disease,61.2896174863388,214.833204188008,1640.36485485092
Indiana,Midwest,Brain Neoplasms,53.9779411764706,8.83666787188063,23.3323332808357
Indiana,Midwest,Epilepsy,13.2989349981638,41.0913302312354,374.124911273584
Indiana,Midwest,Migraine Disorders,14.2860350246969,1174.83098154373,17197.5104980886
Indiana,Midwest,Multiple Sclerosis,34.1815561959654,3.25411021923213,122.015740064721
Indiana,Midwest,Parkinson Disease,43.4261675824176,49.374029292763,192.91331239643
Iowa,Midwest,Alzheimer's Disease,60.7423503325942,204.903898403608,1405.84058403825
Iowa,Midwest,Brain Neoplasms,54.5312658871378,8.83866844387833,18.8117507284709
Iowa,Midwest,Epilepsy,13.7058261700096,34.6213487652555,293.024327021986
Iowa,Midwest,Migraine Disorders,14.6424349881797,1140.97173260894,16768.3754785885
Iowa,Midwest,Multiple Sclerosis,34.1294997662459,3.15516534856936,118.540884196405
Iowa,Midwest,Parkinson Disease,42.2937000887311,46.5931187579085,183.686630188201
Kansas,Midwest,Alzheimer's Disease,61.5953810623557,199.60968859069,1469.48113219243
Kansas,Midwest,Brain Neoplasms,53.396942540854,9.11342971117137,26.3783184659831
Kansas,Midwest,Epilepsy,13.4693372898121,39.2077192155195,342.950365807196
Kansas,Midwest,Migraine Disorders,14.6088308457711,1180.83432649245,16944.82494575
Kansas,Midwest,Multiple Sclerosis,33.2903846153846,3.28441410018523,119.682952556173
Kansas,Midwest,Parkinson Disease,42.8483587609801,51.2259825295311,208.101747504703
Kentucky,Southeast,Alzheimer's Disease,61.9262844378258,202.404492728947,1516.51883977495
Kentucky,Southeast,Brain Neoplasms,54.9201858108108,9.83311721623363,25.1464510013759
Kentucky,Southeast,Epilepsy,13.4597747385358,42.3829301931061,393.561658890618
Kentucky,Southeast,Migraine Disorders,14.5284794452699,1149.61470188107,17156.8321119236
Kentucky,Southeast,Multiple Sclerosis,34.1508467900748,2.95604387978677,119.968948431635
Kentucky,Southeast,Parkinson Disease,43.2077095808383,50.3432212129509,188.373725234362
Louisiana,Southeast,Alzheimer's Disease,55.1312991215904,194.612803801738,1488.53285357638
Louisiana,Southeast,Brain Neoplasms,52.2169367485625,7.80451027374807,17.4770005488858
Louisiana,Southeast,Epilepsy,12.5242814667988,42.9666750839048,390.906260307068
Louisiana,Southeast,Migraine Disorders,13.9020935960591,1174.95245953268,17211.2129132608
Louisiana,Southeast,Multiple Sclerosis,31.0419681620839,2.2766345884621,86.1513344730687
Louisiana,Southeast,Parkinson Disease,40.7724523033969,46.7014451667871,175.107109521553
Maine,Northeast,Alzheimer's Disease,63.333850129199,254.150005046145,1883.53602751439
Maine,Northeast,Brain Neoplasms,55.785079928952,10.6096767432606,27.8411964716589
Maine,Northeast,Epilepsy,14.1246490735542,37.2507854287971,343.064644178192
Maine,Northeast,Migraine Disorders,14.9294274300932,1060.60003902106,17004.4641409534
Maine,Northeast,Multiple Sclerosis,35.3821138211382,3.6221216306249,164.882861289634
Maine,Northeast,Parkinson Disease,46.2100313479624,68.4895294407783,276.904965714614
Maryland,Northeast,Alzheimer's Disease,60.6188692098093,202.47957256285,1540.06864073941
Maryland,Northeast,Brain Neoplasms,52.163524432474,7.94741612852429,22.5014905226228
Maryland,Northeast,Epilepsy,12.9798387096774,39.46347745119,353.878574462453
Maryland,Northeast,Migraine Disorders,13.9866131191432,1167.1181522855,17752.900743255
Maryland,Northeast,Multiple Sclerosis,33.6165170556553,3.47711656822518,135.474778196827
Maryland,Northeast,Parkinson Disease,42.7528282482002,44.883789927729,175.803669970612
Massachusetts,Northeast,Alzheimer's Disease,64.2549335481273,237.057759217269,1775.8541035194
Massachusetts,Northeast,Brain Neoplasms,55.1007292616226,9.9145269880391,30.377619298294
Massachusetts,Northeast,Epilepsy,14.0095527572731,40.7778003653311,384.097639558942
Massachusetts,Northeast,Migraine Disorders,14.6743002544529,1144.15954618357,17688.9244955588
Massachusetts,Northeast,Multiple Sclerosis,35.9626960576516,3.99874986511203,158.197105214185
Massachusetts,Northeast,Parkinson Disease,46.4020408163265,50.7856764272573,209.854766051344
Michigan,Midwest,Alzheimer's Disease,60.789334216628,233.085800008891,1787.50578490159
Michigan,Midwest,Brain Neoplasms,53.3095416979715,9.09046549007823,21.3049542221727
Michigan,Midwest,Epilepsy,13.0936834634493,44.7461980314354,430.492313980339
Michigan,Midwest,Migraine Disorders,14.026169026169,1100.07282635307,15962.6906937225
Michigan,Midwest,Multiple Sclerosis,33.8326943185779,4.0497415166024,164.604201573863
Michigan,Midwest,Parkinson Disease,43.1929238985314,52.9991930086051,206.560214960874
Minnesota,Midwest,Alzheimer's Disease,60.2615150361629,191.305688318083,1420.59326101927
Minnesota,Midwest,Brain Neoplasms,54.2819614711033,9.4191461708931,31.3578432837352
Minnesota,Midwest,Epilepsy,13.2738436348752,37.494488767748,322.840090241148
Minnesota,Midwest,Migraine Disorders,14.364657814096,1152.90559612363,17080.3447603516
Minnesota,Midwest,Multiple Sclerosis,33.7591919191919,3.78138016519678,143.405887965433
Minnesota,Midwest,Parkinson Disease,41.6890499809233,45.8207609871214,183.284231418775
Mississippi,Southeast,Alzheimer's Disease,57.9161045531197,169.385610622705,1236.36904915091
Mississippi,Southeast,Brain Neoplasms,52.4971698113208,8.78392132795706,19.0960144158632
Mississippi,Southeast,Epilepsy,12.869918699187,36.3970932569357,310.849497891316
Mississippi,Southeast,Migraine Disorders,13.9784649364992,1183.15764229126,17248.0979138891
Mississippi,Southeast,Multiple Sclerosis,31.7234230260256,2.08189449280306,76.5552283992881
Mississippi,Southeast,Parkinson Disease,42.6532428995337,38.2607176036952,125.269319531662
Missouri,Midwest,Alzheimer's Disease,59.2881801125704,222.562573344265,1670.79941311553
Missouri,Midwest,Brain Neoplasms,54.8932203389831,8.75862991699552,23.502072539434
Missouri,Midwest,Epilepsy,13.4810483870968,39.8465140826062,363.301599043507
Missouri,Midwest,Migraine Disorders,14.2398234428641,1151.93968726538,17135.5374427897
Missouri,Midwest,Multiple Sclerosis,33.3138339920949,3.30878578302412,130.585092387579
Missouri,Midwest,Parkinson Disease,42.3664036076663,54.1386108914922,217.789504291363
Montana,West,Alzheimer's Disease,59.6752175904718,226.020560147788,1630.52616702313
Montana,West,Brain Neoplasms,54.6006372809347,9.54355213167812,25.7592474959409
Montana,West,Epilepsy,12.9497041420118,40.5323851743432,371.897401387271
Montana,West,Migraine Disorders,14.290424857324,1097.02149074877,16661.1997591066
Montana,West,Multiple Sclerosis,33.0433734939759,4.54811617284947,184.338465418355
Montana,West,Parkinson Disease,41.735632183908,54.1639651610159,201.108197772322
Nebraska,Midwest,Alzheimer's Disease,65.16797054763,196.090972557107,1436.4984976957
Nebraska,Midwest,Brain Neoplasms,53.410323253389,9.32393399866066,28.1530815008694
Nebraska,Midwest,Epilepsy,13.5995133819951,35.5221218446176,292.473502123433
Nebraska,Midwest,Migraine Disorders,14.8627935723115,1168.62558499515,16829.9015184492
Nebraska,Midwest,Multiple Sclerosis,33.9738468854018,3.85416758491753,141.164685288367
Nebraska,Midwest,Parkinson Disease,44.5750915750916,39.6195704473452,150.544389361403
Nevada,West,Alzheimer's Disease,64.0236842105263,138.112964584795,977.427242714465
Nevada,West,Brain Neoplasms,56.1613722998729,7.35310040341174,20.0833988637153
Nevada,West,Epilepsy,13.6848045143087,39.7481361746944,363.457094919837
Nevada,West,Migraine Disorders,14.4753694581281,1187.73470493987,17543.0725276925
Nevada,West,Multiple Sclerosis,35.0417487199685,3.71626374048273,139.702696479683
Nevada,West,Parkinson Disease,44.0429702223898,42.4360341702031,150.98461046691
New Hampshire,Northeast,Alzheimer's Disease,65.2686158063043,230.593101614132,1709.58248353359
New Hampshire,Northeast,Brain Neoplasms,56.7332641411521,10.0895298058054,29.4810257058838
New Hampshire,Northeast,Epilepsy,14.1716527709662,35.9753590135229,324.595405648681
New Hampshire,Northeast,Migraine Disorders,15.013856812933,1097.52995141108,17334.9696085837
New Hampshire,Northeast,Multiple Sclerosis,36.6477382098171,3.87485410247806,173.412467837696
New Hampshire,Northeast,Parkinson Disease,46.9272474513438,56.2778037994777,220.098634012693
New Jersey,Northeast,Alzheimer's Disease,62.3668747704738,211.942200507771,1551.39029609126
New Jersey,Northeast,Brain Neoplasms,53.7644593461861,10.5417266913429,45.2646187971105
New Jersey,Northeast,Epilepsy,13.740961462058,43.1546228309835,400.420909399208
New Jersey,Northeast,Migraine Disorders,14.4669811320755,1141.61630270974,17403.6903922091
New Jersey,Northeast,Multiple Sclerosis,35.2508737864078,3.28189398245924,135.141932580486
New Jersey,Northeast,Parkinson Disease,44.9821826280624,46.8159487019193,192.849516398335
New Mexico,Southwest,Alzheimer's Disease,61.2652173913044,205.662049525738,1481.98151579545
New Mexico,Southwest,Brain Neoplasms,53.3109831345126,7.68747160396426,22.5028894389215
New Mexico,Southwest,Epilepsy,13.5118171251453,42.7228565939195,363.440430860146
New Mexico,Southwest,Migraine Disorders,14.2387066096053,1158.08543271433,17005.581679644
New Mexico,Southwest,Multiple Sclerosis,33.6034026465028,3.01079884881167,116.875394709982
New Mexico,Southwest,Parkinson Disease,43.3576881134133,47.0147227836178,168.351363536669
New York,Northeast,Alzheimer's Disease,62.3879668049793,225.444833621701,1670.76188227628
New York,Northeast,Brain Neoplasms,53.579030350808,7.62609517501325,23.2328864325017
New York,Northeast,Epilepsy,13.56,43.5086086525538,408.835774152943
New York,Northeast,Migraine Disorders,14.3477292965272,1149.86863165371,17601.1249224125
New York,Northeast,Multiple Sclerosis,34.9699743683632,3.75119215931432,152.421905467364
New York,Northeast,Parkinson Disease,44.7310777816533,50.5351447894684,213.888286523291
North Carolina,Southeast,Alzheimer's Disease,60.8212141427618,181.133259107328,1318.74113841672
North Carolina,Southeast,Brain Neoplasms,52.3973164368245,8.30914076835556,21.758032721612
North Carolina,Southeast,Epilepsy,13.180843459614,36.3416834303401,314.960768662457
