variable,value,Pvalue,DPGenes,CDGenes,ORAp
Unique chemicals,306,Fisher p < 0.001,10,3,0.01
Unique genes,3446,Fisher p < 0.001,10,3,0.01
Unique pathways,1424,Fisher p < 0.001,10,3,0.01
Unique chem-dis,1589,Fisher p < 0.001,10,3,0.01
Unique chem-path,189853,Fisher p < 0.001,10,3,0.01
Unique chem-path-dis,655261,Fisher p < 0.001,10,3,0.01
Unique chemicals,306,Fisher p < 0.001,10,3,0.001
Unique genes,3384,Fisher p < 0.001,10,3,0.001
Unique pathways,1285,Fisher p < 0.001,10,3,0.001
Unique chem-dis,1589,Fisher p < 0.001,10,3,0.001
Unique chem-path,179060,Fisher p < 0.001,10,3,0.001
Unique chem-path-dis,591156,Fisher p < 0.001,10,3,0.001
Unique chemicals,284,Fisher p < 0.001,10,5,0.01
Unique genes,3444,Fisher p < 0.001,10,5,0.01
Unique pathways,1424,Fisher p < 0.001,10,5,0.01
Unique chem-dis,1525,Fisher p < 0.001,10,5,0.01
Unique chem-path,187759,Fisher p < 0.001,10,5,0.01
Unique chem-path-dis,649036,Fisher p < 0.001,10,5,0.01
Unique chemicals,284,Fisher p < 0.001,10,5,0.001
Unique genes,3382,Fisher p < 0.001,10,5,0.001
Unique pathways,1285,Fisher p < 0.001,10,5,0.001
Unique chem-dis,1525,Fisher p < 0.001,10,5,0.001
Unique chem-path,177116,Fisher p < 0.001,10,5,0.001
Unique chem-path-dis,585503,Fisher p < 0.001,10,5,0.001
Unique chemicals,248,Fisher p < 0.001,10,10,0.01
Unique genes,3442,Fisher p < 0.001,10,10,0.01
Unique pathways,1424,Fisher p < 0.001,10,10,0.01
Unique chem-dis,1256,Fisher p < 0.001,10,10,0.01
Unique chem-path,179327,Fisher p < 0.001,10,10,0.01
Unique chem-path-dis,604524,Fisher p < 0.001,10,10,0.01
Unique chemicals,248,Fisher p < 0.001,10,10,0.001
Unique genes,3380,Fisher p < 0.001,10,10,0.001
Unique pathways,1285,Fisher p < 0.001,10,10,0.001
Unique chem-dis,1256,Fisher p < 0.001,10,10,0.001
Unique chem-path,168980,Fisher p < 0.001,10,10,0.001
Unique chem-path-dis,544785,Fisher p < 0.001,10,10,0.001
Unique chemicals,200,Fisher p < 0.001,10,20,0.01
Unique genes,3433,Fisher p < 0.001,10,20,0.01
Unique pathways,1424,Fisher p < 0.001,10,20,0.01
Unique chem-dis,834,Fisher p < 0.001,10,20,0.01
Unique chem-path,158648,Fisher p < 0.001,10,20,0.01
Unique chem-path-dis,479959,Fisher p < 0.001,10,20,0.01
Unique chemicals,200,Fisher p < 0.001,10,20,0.001
Unique genes,3371,Fisher p < 0.001,10,20,0.001
Unique pathways,1285,Fisher p < 0.001,10,20,0.001
Unique chem-dis,834,Fisher p < 0.001,10,20,0.001
Unique chem-path,148628,Fisher p < 0.001,10,20,0.001
Unique chem-path-dis,430596,Fisher p < 0.001,10,20,0.001
Unique chemicals,306,Fisher p < 0.001,20,3,0.01
Unique genes,3397,Fisher p < 0.001,20,3,0.01
Unique pathways,882,Fisher p < 0.001,20,3,0.01
Unique chem-dis,1589,Fisher p < 0.001,20,3,0.01
Unique chem-path,140820,Fisher p < 0.001,20,3,0.01
Unique chem-path-dis,434308,Fisher p < 0.001,20,3,0.01
Unique chemicals,306,Fisher p < 0.001,20,3,0.001
Unique genes,3352,Fisher p < 0.001,20,3,0.001
