State,Region,Disease,PestHits,Metric,DiseaseOccurrence
Alabama,Southeast,Alzheimer's Disease,52.2313284864508,Incidence,183.651297284712
Arizona,Southwest,Alzheimer's Disease,59.9548319327731,Incidence,191.041043990159
Arkansas,Southeast,Alzheimer's Disease,46.7149722735675,Incidence,192.93033068765
California,West,Alzheimer's Disease,54.2928954423593,Incidence,170.890843957619
Colorado,West,Alzheimer's Disease,55.009349289454,Incidence,178.108974484281
Connecticut,Northeast,Alzheimer's Disease,60.5799004074242,Incidence,242.579338794861
Delaware,Northeast,Alzheimer's Disease,59.8741753063148,Incidence,205.001080271807
Florida,Southeast,Alzheimer's Disease,56.3265807243708,Incidence,256.464817963793
Georgia,Southeast,Alzheimer's Disease,53.3091231178034,Incidence,149.213338507527
Idaho,West,Alzheimer's Disease,56.5404326123128,Incidence,166.654811662179
Illinois,Midwest,Alzheimer's Disease,53.7458757458758,Incidence,194.525388477769
Indiana,Midwest,Alzheimer's Disease,54.3788899582932,Incidence,214.833204188008
Iowa,Midwest,Alzheimer's Disease,52.1429166666667,Incidence,204.903898403608
Kansas,Midwest,Alzheimer's Disease,50.5645875251509,Incidence,199.60968859069
Kentucky,Southeast,Alzheimer's Disease,54.6428571428572,Incidence,202.404492728947
Louisiana,Southeast,Alzheimer's Disease,45.3306613226453,Incidence,194.612803801738
Maine,Northeast,Alzheimer's Disease,59.1349621873182,Incidence,254.150005046145
Maryland,Northeast,Alzheimer's Disease,55.0421300977418,Incidence,202.47957256285
Massachusetts,Northeast,Alzheimer's Disease,61.1588001764446,Incidence,237.057759217269
Michigan,Midwest,Alzheimer's Disease,54.7181989924433,Incidence,233.085800008891
Minnesota,Midwest,Alzheimer's Disease,52.3506629448709,Incidence,191.305688318083
Mississippi,Southeast,Alzheimer's Disease,48.230461650309,Incidence,169.385610622705
Missouri,Midwest,Alzheimer's Disease,49.8826941669352,Incidence,222.562573344265
Montana,West,Alzheimer's Disease,51.1636597938144,Incidence,226.020560147788
Nebraska,Midwest,Alzheimer's Disease,54.6577319587629,Incidence,196.090972557107
