Type,Disease,Year,variable,value
Genes,Alzheimer's Disease,1992,Incidence corr coefficient,0.097399486076641
Genes,Multiple Sclerosis,1992,Incidence corr coefficient,0.58325148053929
Genes,Parkinson Disease,1992,Incidence corr coefficient,0.243195035163546
Genes,Alzheimer's Disease,1993,Incidence corr coefficient,0.0873267354024429
Genes,Multiple Sclerosis,1993,Incidence corr coefficient,0.603579616482616
Genes,Parkinson Disease,1993,Incidence corr coefficient,0.24365719073786
Genes,Alzheimer's Disease,1994,Incidence corr coefficient,0.135644039288573
Genes,Multiple Sclerosis,1994,Incidence corr coefficient,0.644899658681428
Genes,Parkinson Disease,1994,Incidence corr coefficient,0.295456655362419
Genes,Alzheimer's Disease,1995,Incidence corr coefficient,0.092458591512876
Genes,Multiple Sclerosis,1995,Incidence corr coefficient,0.57730644428904
Genes,Parkinson Disease,1995,Incidence corr coefficient,0.272664714544092
Genes,Alzheimer's Disease,1996,Incidence corr coefficient,0.0642808367576139
Genes,Multiple Sclerosis,1996,Incidence corr coefficient,0.592950192247377
Genes,Parkinson Disease,1996,Incidence corr coefficient,0.275249846334416
Genes,Alzheimer's Disease,1998,Incidence corr coefficient,0.0539950928357593
Genes,Multiple Sclerosis,1998,Incidence corr coefficient,0.626756796721839
Genes,Parkinson Disease,1998,Incidence corr coefficient,0.317462105975118
Genes,Alzheimer's Disease,1997,Incidence corr coefficient,0.0474719385871933
Genes,Multiple Sclerosis,1997,Incidence corr coefficient,0.605712069147699
Genes,Parkinson Disease,1997,Incidence corr coefficient,0.287886461279149
Genes,Alzheimer's Disease,1999,Incidence corr coefficient,0.0793361768364428
Genes,Multiple Sclerosis,1999,Incidence corr coefficient,0.624999018122352
Genes,Parkinson Disease,1999,Incidence corr coefficient,0.343450013367102
Genes,Alzheimer's Disease,2000,Incidence corr coefficient,0.087574867218927
Genes,Multiple Sclerosis,2000,Incidence corr coefficient,0.621434695698818
Genes,Parkinson Disease,2000,Incidence corr coefficient,0.342588004019731
Genes,Alzheimer's Disease,2001,Incidence corr coefficient,0.101291457318745
Genes,Multiple Sclerosis,2001,Incidence corr coefficient,0.61692709663447
Genes,Parkinson Disease,2001,Incidence corr coefficient,0.350711132477666
Genes,Alzheimer's Disease,2002,Incidence corr coefficient,0.107905898015414
Genes,Multiple Sclerosis,2002,Incidence corr coefficient,0.612712258886707
Genes,Parkinson Disease,2002,Incidence corr coefficient,0.343983109190887
Genes,Alzheimer's Disease,2003,Incidence corr coefficient,0.139158555911676
Genes,Multiple Sclerosis,2003,Incidence corr coefficient,0.591892036391897
Genes,Parkinson Disease,2003,Incidence corr coefficient,0.356010236090379
Genes,Alzheimer's Disease,2004,Incidence corr coefficient,0.145037317754482
Genes,Multiple Sclerosis,2004,Incidence corr coefficient,0.579680482902847
Genes,Parkinson Disease,2004,Incidence corr coefficient,0.34861334089897
Genes,Alzheimer's Disease,2005,Incidence corr coefficient,0.155761082728858
Genes,Multiple Sclerosis,2005,Incidence corr coefficient,0.580201718548026
Genes,Parkinson Disease,2005,Incidence corr coefficient,0.358835547962289
Genes,Alzheimer's Disease,2006,Incidence corr coefficient,0.165203749798065
Genes,Multiple Sclerosis,2006,Incidence corr coefficient,0.574304616763159
Genes,Parkinson Disease,2006,Incidence corr coefficient,0.361206932746382
Genes,Alzheimer's Disease,2007,Incidence corr coefficient,0.173946506774394
Genes,Multiple Sclerosis,2007,Incidence corr coefficient,0.55141593398762
Genes,Parkinson Disease,2007,Incidence corr coefficient,0.363459585516938
Genes,Alzheimer's Disease,2008,Incidence corr coefficient,0.201626739080553
Genes,Multiple Sclerosis,2008,Incidence corr coefficient,0.545757810825153
Genes,Parkinson Disease,2008,Incidence corr coefficient,0.373972585294382
Genes,Alzheimer's Disease,2009,Incidence corr coefficient,0.209879848565545
Genes,Multiple Sclerosis,2009,Incidence corr coefficient,0.531258651838861
Genes,Parkinson Disease,2009,Incidence corr coefficient,0.373043028290501
Genes,Alzheimer's Disease,2010,Incidence corr coefficient,0.219622351823707
Genes,Multiple Sclerosis,2010,Incidence corr coefficient,0.533190633314148
Genes,Parkinson Disease,2010,Incidence corr coefficient,0.381462010279096
Genes,Alzheimer's Disease,2011,Incidence corr coefficient,0.222463901983763
Genes,Multiple Sclerosis,2011,Incidence corr coefficient,0.53538021601482
Genes,Parkinson Disease,2011,Incidence corr coefficient,0.378414237896869
Genes,Alzheimer's Disease,2012,Incidence corr coefficient,0.231773476315111
Genes,Multiple Sclerosis,2012,Incidence corr coefficient,0.531359132135043
Genes,Parkinson Disease,2012,Incidence corr coefficient,0.381144286939554
Genes,Alzheimer's Disease,2013,Incidence corr coefficient,0.24538436969053
Genes,Multiple Sclerosis,2013,Incidence corr coefficient,0.533528276055884
Genes,Parkinson Disease,2013,Incidence corr coefficient,0.38834736101399
Genes,Alzheimer's Disease,2014,Incidence corr coefficient,0.257948298624905
Genes,Multiple Sclerosis,2014,Incidence corr coefficient,0.528391018994696
Genes,Parkinson Disease,2014,Incidence corr coefficient,0.393385579054932
Genes,Alzheimer's Disease,2015,Incidence corr coefficient,0.271425067598515
Genes,Multiple Sclerosis,2015,Incidence corr coefficient,0.522828704061588
Genes,Parkinson Disease,2015,Incidence corr coefficient,0.400635161940746
Genes,Alzheimer's Disease,2016,Incidence corr coefficient,0.286987679754052
Genes,Multiple Sclerosis,2016,Incidence corr coefficient,0.517779440473847
Genes,Parkinson Disease,2016,Incidence corr coefficient,0.400120784904292
Genes,Alzheimer's Disease,2017,Incidence corr coefficient,0.303154939534922
Genes,Multiple Sclerosis,2017,Incidence corr coefficient,0.513969995544616
Genes,Parkinson Disease,2017,Incidence corr coefficient,0.409681844598349
Genes,Alzheimer's Disease,2018,Incidence corr coefficient,0.317981270910727
Genes,Multiple Sclerosis,2018,Incidence corr coefficient,0.513788023551644
Genes,Parkinson Disease,2018,Incidence corr coefficient,0.431754889577772
Genes,Alzheimer's Disease,1992,Prevalence corr coefficient,0.100183257428128
Genes,Multiple Sclerosis,1992,Prevalence corr coefficient,0.606405160166335
Genes,Parkinson Disease,1992,Prevalence corr coefficient,0.233602576827792
Genes,Alzheimer's Disease,1993,Prevalence corr coefficient,0.084892728182706
Genes,Multiple Sclerosis,1993,Prevalence corr coefficient,0.629025821600316
Genes,Parkinson Disease,1993,Prevalence corr coefficient,0.22851997065322
Genes,Alzheimer's Disease,1994,Prevalence corr coefficient,0.129973417965048
Genes,Multiple Sclerosis,1994,Prevalence corr coefficient,0.681820440906118
Genes,Parkinson Disease,1994,Prevalence corr coefficient,0.279534899856568
Genes,Alzheimer's Disease,1995,Prevalence corr coefficient,0.0847407334843544
Genes,Multiple Sclerosis,1995,Prevalence corr coefficient,0.621616940857527
Genes,Parkinson Disease,1995,Prevalence corr coefficient,0.250680214852694
Genes,Alzheimer's Disease,1996,Prevalence corr coefficient,0.0560174755676462
Genes,Multiple Sclerosis,1996,Prevalence corr coefficient,0.638940764308232
Genes,Parkinson Disease,1996,Prevalence corr coefficient,0.25172117937462
Genes,Alzheimer's Disease,1998,Prevalence corr coefficient,0.0368403142756661
Genes,Multiple Sclerosis,1998,Prevalence corr coefficient,0.689307842134229
Genes,Parkinson Disease,1998,Prevalence corr coefficient,0.287534435511899
Genes,Alzheimer's Disease,1997,Prevalence corr coefficient,0.0351009735399613
Genes,Multiple Sclerosis,1997,Prevalence corr coefficient,0.660634123363623
Genes,Parkinson Disease,1997,Prevalence corr coefficient,0.261433750949546
Genes,Alzheimer's Disease,1999,Prevalence corr coefficient,0.0580368112014526
Genes,Multiple Sclerosis,1999,Prevalence corr coefficient,0.698638791897199
Genes,Parkinson Disease,1999,Prevalence corr coefficient,0.314954317744532
Genes,Alzheimer's Disease,2000,Prevalence corr coefficient,0.0658304772607005
Genes,Multiple Sclerosis,2000,Prevalence corr coefficient,0.70237333365793
Genes,Parkinson Disease,2000,Prevalence corr coefficient,0.314856415973982
Genes,Alzheimer's Disease,2001,Prevalence corr coefficient,0.0805345399832403
Genes,Multiple Sclerosis,2001,Prevalence corr coefficient,0.709011402631197
Genes,Parkinson Disease,2001,Prevalence corr coefficient,0.323801894928779
Genes,Alzheimer's Disease,2002,Prevalence corr coefficient,0.0873056741603111
Genes,Multiple Sclerosis,2002,Prevalence corr coefficient,0.710764745246436
Genes,Parkinson Disease,2002,Prevalence corr coefficient,0.319068676497257
