Type,Disease,Year,variable,value
Age-standardized,Alzheimer's Disease,1992,Incidence corr coefficient,-0.0256477953303754
Age-standardized,Multiple Sclerosis,1992,Incidence corr coefficient,0.413246935430421
Age-standardized,Parkinson Disease,1992,Incidence corr coefficient,0.364372821815631
Age-standardized,Alzheimer's Disease,1993,Incidence corr coefficient,-0.137075721473913
Age-standardized,Multiple Sclerosis,1993,Incidence corr coefficient,0.451104556952653
Age-standardized,Parkinson Disease,1993,Incidence corr coefficient,0.359011295298051
Age-standardized,Alzheimer's Disease,1994,Incidence corr coefficient,-0.121299483914394
Age-standardized,Multiple Sclerosis,1994,Incidence corr coefficient,0.512689415629134
Age-standardized,Parkinson Disease,1994,Incidence corr coefficient,0.376983161123125
Age-standardized,Alzheimer's Disease,1996,Incidence corr coefficient,-0.128521801613697
Age-standardized,Multiple Sclerosis,1996,Incidence corr coefficient,0.466276392882373
Age-standardized,Parkinson Disease,1996,Incidence corr coefficient,0.379200332233827
Age-standardized,Alzheimer's Disease,1995,Incidence corr coefficient,-0.129392859401426
Age-standardized,Multiple Sclerosis,1995,Incidence corr coefficient,0.46020849824027
Age-standardized,Parkinson Disease,1995,Incidence corr coefficient,0.359336449935194
Age-standardized,Alzheimer's Disease,1998,Incidence corr coefficient,-0.112290971548723
Age-standardized,Multiple Sclerosis,1998,Incidence corr coefficient,0.485467344779252
Age-standardized,Parkinson Disease,1998,Incidence corr coefficient,0.423790196595625
Age-standardized,Alzheimer's Disease,1997,Incidence corr coefficient,-0.118593262066119
Age-standardized,Multiple Sclerosis,1997,Incidence corr coefficient,0.452678535552999
Age-standardized,Parkinson Disease,1997,Incidence corr coefficient,0.398959837007912
Age-standardized,Alzheimer's Disease,1999,Incidence corr coefficient,-0.0711970496704456
Age-standardized,Multiple Sclerosis,1999,Incidence corr coefficient,0.500622536827616
Age-standardized,Parkinson Disease,1999,Incidence corr coefficient,0.439976895055843
Age-standardized,Alzheimer's Disease,2000,Incidence corr coefficient,-0.0478518049241679
Age-standardized,Multiple Sclerosis,2000,Incidence corr coefficient,0.502263909174353
Age-standardized,Parkinson Disease,2000,Incidence corr coefficient,0.432670228004664
Age-standardized,Alzheimer's Disease,2001,Incidence corr coefficient,-0.0190208626347297
Age-standardized,Multiple Sclerosis,2001,Incidence corr coefficient,0.505821907825457
Age-standardized,Parkinson Disease,2001,Incidence corr coefficient,0.432975976087104
Age-standardized,Alzheimer's Disease,2002,Incidence corr coefficient,0.00573382459471831
Age-standardized,Multiple Sclerosis,2002,Incidence corr coefficient,0.506278905326873
Age-standardized,Parkinson Disease,2002,Incidence corr coefficient,0.420517668594112
Age-standardized,Alzheimer's Disease,2003,Incidence corr coefficient,0.0332608363818017
Age-standardized,Multiple Sclerosis,2003,Incidence corr coefficient,0.490435112252901
Age-standardized,Parkinson Disease,2003,Incidence corr coefficient,0.398181815258162
Age-standardized,Alzheimer's Disease,2004,Incidence corr coefficient,0.0419456295975074
Age-standardized,Multiple Sclerosis,2004,Incidence corr coefficient,0.485097399049759
Age-standardized,Parkinson Disease,2004,Incidence corr coefficient,0.377958004671353
Age-standardized,Alzheimer's Disease,2005,Incidence corr coefficient,0.0522986995622669
Age-standardized,Multiple Sclerosis,2005,Incidence corr coefficient,0.486908300518464
Age-standardized,Parkinson Disease,2005,Incidence corr coefficient,0.381839898226634
Age-standardized,Alzheimer's Disease,2006,Incidence corr coefficient,0.0434500792949482
Age-standardized,Multiple Sclerosis,2006,Incidence corr coefficient,0.48860884967381
Age-standardized,Parkinson Disease,2006,Incidence corr coefficient,0.368572114045155
Age-standardized,Alzheimer's Disease,2007,Incidence corr coefficient,0.0568380827516366
Age-standardized,Multiple Sclerosis,2007,Incidence corr coefficient,0.476093732951247
Age-standardized,Parkinson Disease,2007,Incidence corr coefficient,0.355690040563686
Age-standardized,Alzheimer's Disease,2008,Incidence corr coefficient,0.06612523036581
Age-standardized,Multiple Sclerosis,2008,Incidence corr coefficient,0.478619692786956
Age-standardized,Parkinson Disease,2008,Incidence corr coefficient,0.337546615753835
Age-standardized,Alzheimer's Disease,2009,Incidence corr coefficient,0.0730160820998791
Age-standardized,Multiple Sclerosis,2009,Incidence corr coefficient,0.475434590630866
Age-standardized,Parkinson Disease,2009,Incidence corr coefficient,0.331590695153697
Age-standardized,Alzheimer's Disease,2010,Incidence corr coefficient,0.0786641752311028
Age-standardized,Multiple Sclerosis,2010,Incidence corr coefficient,0.483880366420931
Age-standardized,Parkinson Disease,2010,Incidence corr coefficient,0.339260244613523
