snpId,GeneID,GeneSymbol,Disease,Rank,Reps,HighHits,Rules,RankOrder,chromosome,position,variant_consequence_type,Severity,Shape,BPfull,SeverityPlot,Label
rs10014396,6622,SNCA,Parkinson Disease,1913,10,77.9,3029.6,191.3,4,89791478,intron variant,Modifier,19,766056585,2,""
rs1007837,9846,GAB2,Alzheimer's Disease,6937,10,58.7,583.8,693.7,11,78230030,intron variant,Modifier,19,1824010296,2,""
rs10079250,1436,CSF1R,Parkinson Disease,1267,10,127.3,1247.3,126.7,5,150070569,missense variant,Moderate,19,995509087,3,""
rs10097505,23237,ARC,Alzheimer's Disease,6807,10,45.8,873.1,680.7,8,142612823,3 prime UTR variant,Modifier,19,1482716087,2,""
rs10098778,137682,NDUFAF6,Alzheimer's Disease,10754,10,32.5,409.6,1075.4,8,94979792,intron variant,Modifier,19,1435083056,2,""
rs1010159,6653,SORL1,Alzheimer's Disease,3418,10,77.1,1152.4,341.8,11,121612692,non coding transcript exon variant,Modifier,19,1867392958,2,""
rs1013639215,5309,PITX3,Parkinson Disease,6633.5,10,28.3,605.9,663.35,10,102231987,missense variant,Moderate,19,1721966106,3,""
rs1014290,56606,SLC2A9,Parkinson Disease,11087,10,33.7,220.1,1108.7,4,10000237,intron variant,Modifier,19,686265344,2,""
rs10194375,274,BIN1,Alzheimer's Disease,5584,10,58.7,768.4,558.4,2,127082205,intron variant,Modifier,19,374501225,2,""
rs10207628,274,BIN1,Alzheimer's Disease,5584,10,58.7,768.4,558.4,2,127094445,intron variant,Modifier,19,374513465,2,""
rs10380,4552,MTRR,Parkinson Disease,9336.5,10,35.3,195.3,933.65,5,7897078,missense variant,Moderate,19,853335596,3,""
rs10399931,1116,CHI3L1,Alzheimer's Disease,9879,8,12.125,1090.25,1234.875,1,203186952,upstream gene variant,Modifier,19,203186952,2,""
rs10401176,602,BCL3,Alzheimer's Disease,3181.5,10,76.9,1095.7,318.15,19,44750234,intron variant,Modifier,19,2585567262,2,""
rs10410544,22933,SIRT2,Alzheimer's Disease,2288,10,71.3,1554.2,228.8,19,38894892,intron variant,Modifier,8,2579711920,2,""
rs10410544,22933,SIRT2,Parkinson Disease,3508,10,74.1,1438.4,350.8,19,38894892,intron variant,Modifier,8,2579711920,2,""
rs1042114,4985,OPRD1,Alzheimer's Disease,2331,8,33.25,1748.625,291.375,1,28812463,missense variant,Moderate,19,28812463,3,""
rs10426401,5817,PVR,Alzheimer's Disease,13141,8,10.125,294.5,1642.625,19,44644419,intron variant,Modifier,19,2585461447,2,""
rs1043424,65018,PINK1,Parkinson Disease,3193,10,44.3,1178.5,319.3,1,20650507,missense variant,Moderate,19,20650507,3,""
rs1044396,1137,CHRNA4,Parkinson Disease,9450,10,11.6,594.2,945,20,63349782,missense variant,Moderate,19,2655392031,3,""
rs1044397,1137,CHRNA4,Parkinson Disease,12607,10,11.6,594.2,1260.7,20,63349752,synonymous variant,Low,19,2655392001,1,""
rs10445337,4137,MAPT,Parkinson Disease,3388,10,63.6,815,338.8,17,45990034,missense variant,Moderate,19,2436816756,3,""
rs10445338,4137,MAPT,Parkinson Disease,5440,10,63.6,815,544,17,45990316,intron variant,Modifier,19,2436817038,2,""
rs1047552,83464,APH1B,Alzheimer's Disease,12517,10,26.2,176.2,1251.7,15,63305658,missense variant,Moderate,19,2274883762,3,""
rs1048230,4891,SLC11A2,Parkinson Disease,4878,10,77.9,1514.7,487.8,12,50992283,synonymous variant,Low,19,1919833274,1,""
rs104893751,4968,OGG1,Alzheimer's Disease,5595,10,24.6,916.6,559.5,3,9750423,missense variant,Moderate,19,490441207,3,""
rs104893863,5860,QDPR,Parkinson Disease,9015,10,33.7,220.1,901.5,4,17511987,missense variant,Moderate,19,693777094,3,""
rs104893875,6622,SNCA,Parkinson Disease,942,10,77.9,3029.6,94.2,4,89828170,missense variant,Moderate,19,766093277,3,""
rs104893877,6622,SNCA,Parkinson Disease,942,10,77.9,3029.6,94.2,4,89828149,missense variant,Moderate,19,766093256,3,""
rs104893878,6622,SNCA,Parkinson Disease,942,10,77.9,3029.6,94.2,4,89835580,missense variant,Moderate,19,766100687,3,""
rs104894104,1029,CDKN2A,Parkinson Disease,2857,6,34.8333333333333,1575.83333333333,476.166666666667,9,21971019,missense variant,Moderate,19,1504687106,3,""
rs1049296,7018,TF,Alzheimer's Disease,1321,10,72,1048.3,132.1,3,133775510,missense variant,Moderate,8,614466294,3,""
rs1049296,7018,TF,Parkinson Disease,2473,10,86.7,926.9,247.3,3,133775510,missense variant,Moderate,8,614466294,3,""
rs10492972,23095,KIF1B,Multiple Sclerosis,2265,10,39.4,542.9,226.5,1,10293054,intron variant,Modifier,19,10293054,2,""
rs1049353,1268,CNR1,Multiple Sclerosis,4341,7,19.4285714285714,183.857142857143,620.142857142857,6,88143916,synonymous variant,Low,19,1110209181,1,""
rs1049564,4860,PNP,Alzheimer's Disease,11485,10,25.9,223,1148.5,14,20472447,missense variant,Moderate,19,2127254520,3,""
rs1049793,26,AOC1,Parkinson Disease,7528,8,24.75,539.25,941,7,150860577,missense variant,Moderate,19,1335653865,3,""
rs10501602,8301,PICALM,Alzheimer's Disease,14956,10,26.2,176.2,1495.6,11,85970346,intron variant,Modifier,19,1831750612,2,""
rs1050210428,4137,MAPT,Alzheimer's Disease,3045.5,9,50.6666666666667,953.333333333333,338.388888888889,17,45983258,missense variant,Moderate,19,2436809980,3,""
rs10507391,241,ALOX5AP,Alzheimer's Disease,14956,10,26.2,176.2,1495.6,13,30737959,intron variant,Modifier,19,2024432740,2,""
rs1051266,6573,SLC19A1,Alzheimer's Disease,529,10,85.1,1812.3,52.9,21,45537880,missense variant,Moderate,19,2701322759,3,""
rs1051308,3163,HMOX2,Parkinson Disease,4611.5,10,78.3,764.2,461.15,16,4510300,3 prime UTR variant,Modifier,19,2305417178,2,""
rs1051312,6616,SNAP25,Multiple Sclerosis,3185,8,18.125,545.125,398.125,20,10306440,3 prime UTR variant,Modifier,8,2602348689,2,""
rs1051312,6616,SNAP25,Parkinson Disease,8060,10,34.7,582.5,806,20,10306440,3 prime UTR variant,Modifier,8,2602348689,2,""
rs10513789,56922,MCCC1,Parkinson Disease,9265,10,33.1,414.2,926.5,3,183042285,intron variant,Modifier,19,663733069,2,""
rs10516845,6622,SNCA,Parkinson Disease,1913,10,77.9,3029.6,191.3,4,89763127,intron variant,Modifier,19,766028234,2,""
rs1051689897,55777,MBD5,Parkinson Disease,12550,10,35.3,195.3,1255,2,148489766,synonymous variant,Low,19,395908786,1,""
rs1052133,4968,OGG1,Alzheimer's Disease,5595,10,24.6,916.6,559.5,3,9757089,missense variant,Moderate,19,490447873,3,""
rs1052352,2521,FUS,Parkinson Disease,8078.5,9,40.1111111111111,995.444444444444,897.611111111111,16,31183958,synonymous variant,Low,19,2332090836,1,""
rs1052551,4137,MAPT,Parkinson Disease,7857,10,63.6,815,785.7,17,45991558,synonymous variant,Low,19,2436818280,1,""
rs1052553,4137,MAPT,Multiple Sclerosis,2946,7,33.2857142857143,852.571428571429,420.857142857143,17,45996523,synonymous variant,Low,8,2436823245,1,""
rs1052553,4137,MAPT,Parkinson Disease,7857,10,63.6,815,785.7,17,45996523,synonymous variant,Low,8,2436823245,1,""
rs1052587,4137,MAPT,Parkinson Disease,5440,10,63.6,815,544,17,46025238,3 prime UTR variant,Modifier,19,2436851960,2,""
rs1057518919,5663,PSEN1,Alzheimer's Disease,2200,10,45.8,1243.3,220,14,73171023,missense variant,Moderate,19,2179953096,3,""
rs1057519492,22861,NLRP1,Parkinson Disease,5057,10,51.4,732.6,505.7,17,5583798,missense variant,Moderate,19,2396410520,3,""
rs1057520247,675,BRCA2,Alzheimer's Disease,10769,8,20.25,800.625,1346.125,13,32326591,synonymous variant,Low,19,2026021372,1,""
rs1058808,2064,ERBB2,Parkinson Disease,1872.5,10,52.6,2144.6,187.25,17,39727784,missense variant,Moderate,19,2430554506,3,""
rs1059174,3134,HLA-F,Multiple Sclerosis,2708,6,13.5,869.666666666667,451.333333333333,6,29726650,non coding transcript exon variant,Modifier,19,1051791915,2,""
rs1060499619,8867,SYNJ1,Parkinson Disease,7528,8,24.75,539.25,941,21,32681590,missense variant,Moderate,19,2688466469,3,""
rs1060619,2597,GAPDH,Parkinson Disease,4698.5,7,60.5714285714286,802.428571428571,671.214285714286,12,6535615,intron variant,Modifier,19,1875376606,2,""
rs1060743,274,BIN1,Alzheimer's Disease,8542,10,58.7,768.4,854.2,2,127068957,synonymous variant,Low,19,374487977,1,""
rs1060826,4843,NOS2,Parkinson Disease,2829,10,96.9,2400.1,282.9,17,27762841,synonymous variant,Low,19,2418589563,1,""
rs1061170,3075,CFH,Alzheimer's Disease,8746,8,17.5,648.5,1093.25,1,196690107,missense variant,Moderate,8,196690107,3,""
rs1061170,3075,CFH,Multiple Sclerosis,2813,8,14.25,589.5,351.625,1,196690107,missense variant,Moderate,8,196690107,3,""
rs1061472,540,ATP7B,Alzheimer's Disease,1106,10,72,1232.9,110.6,13,51950352,missense variant,Moderate,19,2045645133,3,""
rs1061581,3305,HSPA1L,Multiple Sclerosis,2233,8,37.125,1266.625,279.125,6,31816809,synonymous variant,Low,19,1053882074,1,""
rs10719,29102,DROSHA,Alzheimer's Disease,13367,10,32.5,223,1336.7,5,31401340,3 prime UTR variant,Modifier,19,876839858,2,""
rs10737170,4000,LMNA,Parkinson Disease,4352,10,46.4,1782.5,435.2,1,156094089,intron variant,Modifier,19,156094089,2,""
rs10741657,120227,CYP2R1,Multiple Sclerosis,4040,8,14.25,589.5,505,11,14893332,upstream gene variant,Modifier,19,1760673598,2,""
rs10751667,161,AP2A2,Alzheimer's Disease,13271,10,13.1,598.7,1327.1,11,941941,intron variant,Modifier,19,1746722207,2,""
rs10752637,23385,NCSTN,Alzheimer's Disease,5784,10,45.8,1058.7,578.4,1,160342475,intron variant,Modifier,19,160342475,2,""
rs1076560,1813,DRD2,Parkinson Disease,5718.5,10,46.7,965.3,571.85,11,113412966,intron variant,Modifier,19,1859193232,2,""
rs10770042,7465,WEE1,Alzheimer's Disease,5697,10,58.9,1641.4,569.7,11,9585485,synonymous variant,Low,19,1755365751,1,""
rs10774671,4938,OAS1,Multiple Sclerosis,1891,10,25.8,209.2,189.1,12,112919388,splice acceptor variant,High,19,1981760379,4,""
rs1077667,8740,TNFSF14,Multiple Sclerosis,4025.5,7,19.4285714285714,183.857142857143,575.071428571429,19,6668961,intron variant,Modifier,19,2547485989,2,""
rs1078268,4137,MAPT,Parkinson Disease,5440,10,63.6,815,544,17,45998535,intron variant,Modifier,19,2436825257,2,""
rs10792421,2011,MARK2,Alzheimer's Disease,13367,10,32.5,223,1336.7,11,63837705,upstream gene variant,Modifier,19,1809617971,2,""
rs10793294,9846,GAB2,Alzheimer's Disease,6937,10,58.7,583.8,693.7,11,78285357,intron variant,Modifier,19,1824065623,2,""
rs10808026,2041,EPHA1,Alzheimer's Disease,9184,10,32.5,595.2,918.4,7,143402040,intron variant,Modifier,19,1328195328,2,""
rs1081106,,"",Alzheimer's Disease,9152,10,36.6666666666667,1191,915.2,19,44910109,non coding transcript exon variant,Modifier,19,2585727137,2,""
rs10838725,10658,CELF1,Alzheimer's Disease,10754,10,32.5,409.6,1075.4,11,47536319,intron variant,Modifier,19,1793316585,2,""
rs10878226,120892,LRRK2,Parkinson Disease,2534,10,110.9,1240.4,253.4,12,40223890,non coding transcript exon variant,Modifier,19,1909064881,2,""
rs10878307,120892,LRRK2,Parkinson Disease,1431,10,110.9,1240.4,143.1,12,40278187,missense variant,Moderate,19,1909119178,3,""
rs10933431,3635,INPP5D,Alzheimer's Disease,13367,10,32.5,223,1336.7,2,233117202,intron variant,Modifier,19,480536222,2,""
rs11012,9842,PLEKHM1,Parkinson Disease,11087,10,33.7,220.1,1108.7,17,45436075,3 prime UTR variant,Modifier,19,2436262797,2,""
rs11023139,10418,SPON1,Alzheimer's Disease,11184,8,16.25,524.375,1398,11,14202800,intron variant,Modifier,19,1759983066,2,""
rs11082498,57724,EPG5,Alzheimer's Disease,7706,10,39.5,827.3,770.6,18,45922762,intron variant,Modifier,19,2511454246,2,""
rs1108580,1621,DBH,Parkinson Disease,13072,10,10,300.3,1307.2,9,133639992,splice region variant,Low,19,1616356079,1,""
rs11118328,1379,CR1L,Alzheimer's Disease,13988,8,10.125,107.75,1748.5,1,207677194,intron variant,Modifier,19,207677194,2,""
rs111278892,10347,ABCA7,Alzheimer's Disease,9913.5,10,28.4,606.1,991.35,19,1039324,upstream gene variant,Modifier,19,2541856352,2,""
rs111341148,120892,LRRK2,Parkinson Disease,1431,10,110.9,1240.4,143.1,12,40298346,missense variant,Moderate,19,1909139337,3,""
rs11136000,1191,CLU,Alzheimer's Disease,3890,10,72,1048.3,389,8,27607002,intron variant,Modifier,8,1367710266,2,""
rs11136000,1191,CLU,Parkinson Disease,4056,10,86.7,926.9,405.6,8,27607002,intron variant,Modifier,8,1367710266,2,""
rs111501952,120892,LRRK2,Parkinson Disease,1431,10,110.9,1240.4,143.1,12,40310461,missense variant,Moderate,19,1909151452,3,""
rs11158026,2643,GCH1,Parkinson Disease,6442.5,10,51.4,719.8,644.25,14,54882151,intron variant,Modifier,19,2161664224,2,""
rs11175593,120892,LRRK2,Multiple Sclerosis,1095,9,56.4444444444445,1154.77777777778,121.666666666667,12,40208138,non coding transcript exon variant,Modifier,19,1909049129,2,""
rs11176013,120892,LRRK2,Parkinson Disease,4119,10,110.9,1240.4,411.9,12,40320071,synonymous variant,Low,19,1909161062,1,""
rs11186,1290,COL5A2,Parkinson Disease,7554,9,32.1111111111111,811.777777777778,839.333333333333,2,189032668,3 prime UTR variant,Modifier,19,436451688,2,""
rs11190305,23268,DNMBP,Alzheimer's Disease,8746,8,17.5,648.5,1093.25,10,99880120,missense variant,Moderate,19,1719614239,3,""
rs111943087,1436,CSF1R,Alzheimer's Disease,444,10,132.1,1370.7,44.4,5,150059725,missense variant,Moderate,19,995498243,3,""
rs11218343,6653,SORL1,Alzheimer's Disease,3418,10,77.1,1152.4,341.8,11,121564878,intron variant,Modifier,19,1867345144,2,""
rs11234495,8301,PICALM,Alzheimer's Disease,14956,10,26.2,176.2,1495.6,11,85964391,intron variant,Modifier,19,1831744657,2,""
rs112380717,5971,RELB,Alzheimer's Disease,2374,10,72,1416.5,237.4,19,45019803,intron variant,Modifier,19,2585836831,2,""
rs11244787,8038,ADAM12,Alzheimer's Disease,4233,8,38.75,1463,529.125,10,126046147,intron variant,Modifier,19,1745780266,2,""
rs112998035,120892,LRRK2,Parkinson Disease,4119,10,110.9,1240.4,411.9,12,40310436,synonymous variant,Low,19,1909151427,1,""
rs1130214,207,AKT1,Parkinson Disease,660,10,140.9,4333.1,66,14,104793397,5 prime UTR variant,Modifier,19,2211575470,2,""
rs1130409,328,APEX1,Alzheimer's Disease,4533,10,39.5,768.4,453.3,14,20456995,missense variant,Moderate,8,2127239068,3,""
rs1130409,328,APEX1,Parkinson Disease,3071.5,10,65.6,806.4,307.15,14,20456995,missense variant,Moderate,8,2127239068,3,""
rs1133174,6653,SORL1,Alzheimer's Disease,3418,10,77.1,1152.4,341.8,11,121631046,3 prime UTR variant,Modifier,19,1867411312,2,""
rs11352835,4938,OAS1,Multiple Sclerosis,1891,10,25.8,209.2,189.1,12,112931911,frameshift variant,High,19,1981772902,4,""
rs1136666,2597,GAPDH,Parkinson Disease,4698.5,7,60.5714285714286,802.428571428571,671.214285714286,12,6534825,5 prime UTR variant,Modifier,19,1875375816,2,""
rs113994049,8893,EIF2B5,Multiple Sclerosis,3284,10,25.8,209.2,328.4,3,184137637,missense variant,Moderate,19,664828421,3,""
rs113994099,5428,POLG,Parkinson Disease,8011,10,17.1,694.8,801.1,15,89320883,missense variant,Moderate,19,2300898987,3,""
rs114036675,602,BCL3,Alzheimer's Disease,1185,10,76.9,1095.7,118.5,19,44759439,missense variant,Moderate,19,2585576467,3,""
rs1141718,6648,SOD2,Parkinson Disease,802,10,134,1708.9,80.2,6,159688224,missense variant,Moderate,19,1181753489,3,""
rs114248186,5971,RELB,Alzheimer's Disease,2374,10,72,1416.5,237.4,19,45020861,intron variant,Modifier,19,2585837889,2,""
rs1143623,3553,IL1B,Parkinson Disease,778.5,9,131.777777777778,5177.88888888889,86.5,2,112838252,upstream gene variant,Modifier,19,360257272,2,""
rs115102486,79789,CLMN,Alzheimer's Disease,13367,10,32.5,223,1336.7,14,95298227,intron variant,Modifier,19,2202080300,2,""
rs11536889,7099,TLR4,Parkinson Disease,8005.5,10,33.7,607.3,800.55,9,117715853,3 prime UTR variant,Modifier,19,1600431940,2,""
rs11554159,10437,IFI30,Multiple Sclerosis,652,10,35.4,939,65.2,19,18175134,missense variant,Moderate,19,2558992162,3,""
rs115550680,10347,ABCA7,Alzheimer's Disease,9913.5,10,28.4,606.1,991.35,19,1050421,intron variant,Modifier,19,2541867449,2,""
rs11558538,3176,HNMT,Parkinson Disease,8187,7,7.71428571428571,611.285714285714,1169.57142857143,2,138002079,missense variant,Moderate,19,385421099,3,""
rs11564148,120892,LRRK2,Parkinson Disease,1431,10,110.9,1240.4,143.1,12,40320099,missense variant,Moderate,19,1909161090,3,""
rs11564273,120892,LRRK2,Parkinson Disease,2534,10,110.9,1240.4,253.4,12,40204350,intron variant,Modifier,19,1909045341,2,""
rs11567685,3575,IL7R,Multiple Sclerosis,2094,8,21.25,1352.875,261.75,5,35856473,5 prime UTR variant,Modifier,19,881294991,2,""
rs11567686,3575,IL7R,Multiple Sclerosis,2094,8,21.25,1352.875,261.75,5,35856528,5 prime UTR variant,Modifier,19,881295046,2,""
rs11568822,341,APOC1,Alzheimer's Disease,5694,10,41.7,1253.1,569.4,19,44914381,5 prime UTR variant,Modifier,19,2585731409,2,""
rs1158536632,1734,DIO2,Alzheimer's Disease,249,8,86.5,4861,31.125,14,80211468,missense variant,Moderate,19,2186993541,3,""
rs116074753,26058,GIGYF2,Parkinson Disease,9015,10,33.7,220.1,901.5,2,232794835,missense variant,Moderate,19,480213855,3,""
rs116348108,1657,DMXL1,Alzheimer's Disease,13367,10,32.5,223,1336.7,5,119099432,intron variant,Modifier,19,964537950,2,""
rs11649476,55697,VAC14,Alzheimer's Disease,8495.5,10,58.7,398.2,849.55,16,70702849,intron variant,Modifier,19,2371609727,2,""
rs11651595,22861,NLRP1,Alzheimer's Disease,3938,10,45.8,873.1,393.8,17,5559959,missense variant,Moderate,19,2396386681,3,""
